"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repyvettedclarke","135031389892682_1295323290530147","U.S. Rep. Yvette D. Clarke","2017-01-03","2017-01-03 14:26:36","Did you enroll in a health insurance plan through New York State of Health? I want to hear your story.","link","https://nystateofhealth.ny.gov/","nystateofhealth.ny.gov",7,4,3,0,0,0,0,0
"repyvettedclarke","135031389892682_1295510507178092","U.S. Rep. Yvette D. Clarke","2017-01-03","2017-01-03 18:23:25","I'm ready to start the 115th session of Congress! We face many challenges, but I promise you that I will stand up and raise my voice for working families here in Brooklyn and across this nation.","photo","https://www.facebook.com/repyvettedclarke/photos/a.140142059381615.27938.135031389892682/1295509987178144/?type=3",NA,56,6,2,9,0,0,0,0
"repyvettedclarke","135031389892682_1295557963840013","U.S. Rep. Yvette D. Clarke","2017-01-03","2017-01-03 19:29:23","Atrocious doesn't begin to describe this decision. We need to stand up and fight on the Supreme Court and federal judges.","link","http://www.slate.com/blogs/outward/2017/01/03/doctors_may_refuse_to_treat_transgender_patients_and_women_who_ve_had_abortions.html","slate.com",60,16,53,2,0,6,8,45
"repyvettedclarke","135031389892682_1295693250493151","U.S. Rep. Yvette D. Clarke","2017-01-03","2017-01-03 22:52:56","I was deeply honored to start with 115th session of Congress with my inspiration, my mom, the Honorable Dr. Una Clarke. She always taught me to fight injustice - to stand up, raise my voice, and win. In 2017,we progressives from across the United States will find our faith again.","photo","https://www.facebook.com/repyvettedclarke/photos/a.140142059381615.27938.135031389892682/1295693203826489/?type=3",NA,163,15,11,29,0,0,0,0
"repyvettedclarke","135031389892682_1296484150414061","U.S. Rep. Yvette D. Clarke","2017-01-04","2017-01-04 19:53:00","I was deeply honored to join my parents and family, as well as Speaker Ryan, for the start of the 115th session of Congress. It's time to get to work on behalf of Brooklyn families.","photo","https://www.facebook.com/repyvettedclarke/photos/a.140142059381615.27938.135031389892682/1296484150414061/?type=3",NA,40,2,0,5,0,0,0,0
"repyvettedclarke","135031389892682_1298159603579849","U.S. Rep. Yvette D. Clarke","2017-01-06","2017-01-06 17:01:22","I want to commend the Army for expanding opportunities for service to members of all communities of faith.","link","http://www.huffingtonpost.com/entry/new-us-army-regulations-will-allow-turbans-hijabs-and-beards_us_586e8f3ae4b099cdb0fc038b","huffingtonpost.com",230,8,128,17,0,2,0,1
"repyvettedclarke","135031389892682_1299395813456228","U.S. Rep. Yvette D. Clarke","2017-01-08","2017-01-08 02:04:51","We will stand up and defend the Affordable Care Act. When they say ""get back,"" we say, ""fight back!""","link","http://newyork.cbslocal.com/2017/01/07/new-york-democratic-lawmakers-rally-to-defend-obamacare/","newyork.cbslocal.com",115,4,8,9,0,0,0,0
"repyvettedclarke","135031389892682_1301537449908731","U.S. Rep. Yvette D. Clarke","2017-01-10","2017-01-10 15:11:06","On Saturday, I joined Congresswoman Carolyn B. Maloney, Congresswoman Nydia M. Velázquez, and Congressman Hakeem Jeffries at Woodhull Medical Center, as we stood shoulder to shoulder with activists and health care professionals to fight for the Affordable Care Act. 1/3","video","https://www.facebook.com/repyvettedclarke/videos/1301537449908731/",NA,26,2,2,4,0,0,0,0
"repyvettedclarke","135031389892682_1301542906574852","U.S. Rep. Yvette D. Clarke","2017-01-10","2017-01-10 15:19:03","On Saturday, I joined Congresswoman Carolyn B. Maloney, Congresswoman Nydia M. Velázquez, and Congressman Hakeem Jeffries at Woodhull Medical Center, as we stood shoulder to shoulder with activists and health care professionals to fight for the Affordable Care Act. 2/3","video","https://www.facebook.com/repyvettedclarke/videos/1301542906574852/",NA,49,7,5,3,0,0,0,0
"repyvettedclarke","135031389892682_1301543273241482","U.S. Rep. Yvette D. Clarke","2017-01-10","2017-01-10 15:19:11","On Saturday, I joined Congresswoman Carolyn B. Maloney, Congresswoman Nydia M. Velázquez, and Congressman Hakeem Jeffries at Woodhull Medical Center, as we stood shoulder to shoulder with activists and health care professionals to fight for the Affordable Care Act. 3/3","video","https://www.facebook.com/repyvettedclarke/videos/1301543273241482/",NA,27,2,3,2,0,0,0,0
"repyvettedclarke","135031389892682_1301564176572725","U.S. Rep. Yvette D. Clarke","2017-01-10","2017-01-10 15:42:50","""I struggle to understand how Senator Sessions can be considered to lead an agency when time and time again, he has actively opposed the purpose for which the Department of Justice was created.""","link","https://www.c-span.org/video/?c4643586%2Frep-clarke-sessions","c-span.org",321,42,92,56,1,4,0,6
"repyvettedclarke","135031389892682_1302343259828150","U.S. Rep. Yvette D. Clarke","2017-01-11","2017-01-11 14:52:55","Thank you Congressman William Lacy Clay, Jr., for standing up for the right of young people to express themselves through the arts.","photo","https://www.facebook.com/repyvettedclarke/photos/a.140142059381615.27938.135031389892682/1302343259828150/?type=3",NA,39,30,7,3,1,0,0,4
