"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"rfrelinghuysen","191509977669708_770807339739966","Rodney Frelinghuysen","2017-01-03","2017-01-03 23:50:38","More Accessible Health Care for Northwest New Jersey Veterans  WASHINGTON, D.C. – Veterans from Sussex County and surrounding areas of northwest New Jersey will soon have another location to receive health care from the U.S. Department of Veterans Affairs (VA), according to U.S. Congressman Rodney Frelinghuysen (NJ-11).  The VA says it now expects to open a Community Based Outpatient health care Clinic (CBOC) in Newton on January 9 at 222 High Street.  A formal ribbon-cutting ceremony will be scheduled shortly thereafter.   “For over two years, I have been working with my Congressional colleagues, Sussex Freeholders, state legislators and veterans leaders to bring greater access to health care to veterans in Sussex County by convincing the VA to establish a community health clinic,” said Frelinghuysen. “Of course, there have been bureaucratic obstacles along the way, but we would not back down in our efforts to get VA to do its job to serve those who have served us in uniform.”  The Newton clinic will be open Monday through Friday, 8 a.m. to 4:30 p.m.  Previously, Frelinghuysen was instrumental in the establishment of a veterans outpatient clinic in Morris Township.  The VA's New Jersey Health Care System consists of two main “campuses"" in East Orange and Lyons in Bernards Township with additional satellite clinics in Elizabeth, Hackensack, Hamilton, Jersey City, Paterson, Piscataway and Tinton Falls. Many veterans from Sussex County now use the Morris Township clinic - more than an hour's drive from parts of the county.  Financial support for the Sussex CBOC will be provided through the annual Military Construction-VA Appropriations bill drafted by Frelinghuysen’s House Appropriations Committee.  This legislation provides advanced funding for veterans health care, fully funds veterans’ benefits and programs and contains the dollars to house, train, and equip military personnel, provide housing and services to our troops’ families, and help maintain military base infrastructure.  -30-","status",NA,NA,35,43,3,1,0,0,0,0
"rfrelinghuysen","191509977669708_775550659265634","Rodney Frelinghuysen","2017-01-13","2017-01-13 00:16:44","Frelinghuysen Welcomes AF Decision on Tanker Basing  New KC-46A Tankers Coming to Joint Base McGuire-Dix-Lakehurst (JBMDL)  “The Air Force’s decision to base new KC-46 tankers in New Jersey is an endorsement of Joint Base McGuire-Dix-Lakehurst as one of the nation’s premier air mobility installations,” said Frelinghuysen.  “Clearly, the strong work that aircraft and crews at McGuire have done over the years to maintain the critically important ‘air bridge’ from the continental U.S. to the Middle East, Europe, Africa and beyond put this base in a strong position.”     As immediate past Chairman of the House Appropriations Subcommittee on Defense, Frelinghuysen for years advocated for basing the KC-46 tanker at JBMDL with senior Air Force leaders, including Secretary Deborah Lee James, and various Chiefs of Staff of the Air Force.  “The message over the years has been simple: McGuire has the location, the facilities, the experience and the workforce to ensure that the Air Force maintains its ‘global reach.’  Nothing is more important for the warfighter!”  “I can’t think of a better base to host the new tanker,” said Frelinghuysen. “This is a good day for the nation, our military, New Jersey, the Joint Base and the 40,000 people who work there.”  JBMDL is competing with many bases for the next Main Operating Base 4 (MOB 4) for the KC-46A, including bases Dover, Del., Abilene, Texas; Spokane, Wash., Grand Forks, N.D., Charleston, S.C.; Tacoma, Wash. Little Rock, Ark., Tampa, Fla. and Mascoutah, Ill..   Travis Air Force Base in Fairfield, California was also selected as a MOB 4 “preferred alternative” for basing KC-46 tankers.  The final basing decision is expected in the summer of 2018.  The first new tankers are expected to arrive at JBMDL no later than the Spring of 2021.   -30-","status",NA,NA,28,18,1,0,1,0,0,1
"rfrelinghuysen","191509977669708_776051582548875","Rodney Frelinghuysen","2017-01-13","2017-01-13 21:58:10","Frelinghuysen Wins Army Civilian Honor  WASHINGTON, D.C. – U.S. Congressman Rodney Frelinghuysen (NJ-11) today was bestowed the United States Army’s highest civilian honor, the Decoration for Distinguished Civilian Public Service.  Secretary of the Army, Eric Fanning, made the presentation in a ceremony in Frelinghuysen’s Washington office.   “As an Army draftee many years ago, it never crossed my mind that the Secretary of the United States Army would see fit to honor me,” Frelinghuysen said.  “But I am truly honored to receive the Army Civilian Public Service Award.  Supporting our soldiers and their families —past and present—has been, and will remain, a number one priority for me.”  The citation from Secretary Fanning states: “Representative Frelinghuysen was a tireless public servant advancing Congressional support for funding the Army to meet rapidly evolving threats to our nation’s security and ensuring Soldiers have what they need to succeed….His exceptional contributions were integral to the Army receiving the necessary support to support combat, sustain the all-volunteer force, and improve the quality of life for Soldiers, Civilians and Families.  He vigorously supported Army efforts and worked diligently to overcome the fiscal and political challenges inherent in funding our national security priorities.  Representative Frelinghuysen’s distinctive accomplishments and unwavering commitment reflect great credit upon him, the United States House of Representatives, and the United States of America. ”  The Army Decoration for Distinguished Civilian Service was established in May 1956. The Secretary of the Army awards this decoration to those who provide distinguished service that makes a substantial contribution to the accomplishment of the Army's missions.  Frelinghuysen serves as Chairman of the House Appropriations Committee.  He previously served as Chairman of the House Appropriations Subcommittee on Defense and with the House Permanent Select Committee on Intelligence.    -30-","photo","https://www.facebook.com/rfrelinghuysen/photos/a.196628087157897.1073741828.191509977669708/776051509215549/?type=3",NA,93,62,5,8,0,4,0,4
"rfrelinghuysen","191509977669708_783969201757113","Rodney Frelinghuysen","2017-01-26","2017-01-26 23:48:45","Great to hear Theresa May speak about the importance of our special alliance with the UK!","photo","https://www.facebook.com/rfrelinghuysen/photos/a.196628087157897.1073741828.191509977669708/783969201757113/?type=3",NA,159,188,13,2,2,1,0,4
"rfrelinghuysen","191509977669708_785953698225330","Rodney Frelinghuysen","2017-01-30","2017-01-30 16:44:49","Statement of Rep. Rodney Frelinghuysen on President Trump's Executive Order on Immigration:  “As part of his strategy to make the safety and security of the American people his top priority, President Trump believes a pause in immigration from unstable regions is warranted.  However, this weekend’s confusion is an indication that the details of this executive order were not properly scrutinized. Among others, reconsideration should be given to courageous individuals who served as interpreters for our military and properly vetted refugees.    “Congress has important oversight responsibilities over all executive orders, which we intend to exercise.”  ###","status",NA,NA,139,361,34,4,1,1,4,90
"rfrelinghuysen","191509977669708_788255524661814","Rodney Frelinghuysen","2017-02-03","2017-02-03 20:30:09","WASHINGTON, D.C. --- Congressman Rodney P. Frelinghuysen (NJ-11), Chairman of the House Appropriations Committee, today released a statement on the Administration’s additional economic sanctions on Iran:  “We have known for years that Iran is the world foremost state sponsor of global terrorism.  That is one of the reasons it was extremely dangerous for the Obama Administration to hand the mullahs in Teheran billions of dollars in sanctions relief in recent years. Today, in light of new illegal ballistic missiles tests, I welcome the new Administration’s swift action to crack down on Iran’s dangerous ballistic missile program and their threats to their neighbors, especially Israel.”  ###","status",NA,NA,76,133,6,5,0,1,1,30
"rfrelinghuysen","191509977669708_791976684289698","Rodney Frelinghuysen","2017-02-10","2017-02-10 19:17:41","Great to visit with local business people at Morris Chamber of Commerce annual lunch.  Regulatory and tax reform needed to create jobs, get NJ economy moving!","photo","https://www.facebook.com/rfrelinghuysen/photos/a.196628087157897.1073741828.191509977669708/791976627623037/?type=3",NA,34,120,6,3,0,2,0,27
"rfrelinghuysen","191509977669708_793705217450178","Rodney Frelinghuysen","2017-02-13","2017-02-13 21:23:44","Thank you for all of the participating #Valentines4Vets schools across #NJ11! I know our veterans appreciate your thoughtful valentines!","photo","https://www.facebook.com/rfrelinghuysen/photos/a.196628087157897.1073741828.191509977669708/793705040783529/?type=3",NA,40,54,3,2,1,0,0,2
"rfrelinghuysen","191509977669708_794135944073772","Rodney Frelinghuysen","2017-02-14","2017-02-14 15:46:51","Important discussion with New Jersey Fraternal Order of Police on policy priorities to improve the lives of our local law enforcement who put their lives on the line for our communities every day!","photo","https://www.facebook.com/rfrelinghuysen/photos/a.196628087157897.1073741828.191509977669708/794135944073772/?type=3",NA,35,61,2,1,0,0,0,3
"rfrelinghuysen","191509977669708_795364753950891","Rodney Frelinghuysen","2017-02-16","2017-02-16 16:01:44","I have long supported efforts by Special Olympics NJ to help our fantastic Olympians!  Thanks for visiting!","photo","https://www.facebook.com/rfrelinghuysen/photos/a.196628087157897.1073741828.191509977669708/795364753950891/?type=3",NA,59,35,2,5,0,0,0,0
