"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"rogermarshallmd","232404617204556_232815073830177","Congressman Roger Marshall, M.D.","2017-01-03","2017-01-03 14:39:26","This morning, we started our first official day at a congressional prayer service hosted by House leadership.  We were reminded of the call to be servant leaders, and to put others before ourselves, our goals and our ambitions.  The message was very clear to me, whether it was from the Gospel of Matthew, the Old Testament, or from our Hindu or Buddhist colleagues - we in congress are Called to serve, not be served.  I ask for your prayers as we begin this journey!","status",NA,NA,62,10,1,3,0,0,0,0
"rogermarshallmd","232404617204556_232963180482033","Congressman Roger Marshall, M.D.","2017-01-03","2017-01-03 21:24:27","It is official! I am proud to be the Congressman of Kansas' 1st Congressional District. Thanks to the many of you who have supported my family and I through this process.   Time to get to work.","photo","https://www.facebook.com/RogerMarshallMD/photos/a.232963460482005.1073741828.232404617204556/232963180482033/?type=3",NA,259,69,15,17,2,0,0,2
"rogermarshallmd","232404617204556_234269073684777","Congressman Roger Marshall, M.D.","2017-01-06","2017-01-06 14:18:44","Check out this story from KWCH 12 Eyewitness News on the priorities of the 115th Congress. We have a lot of work ahead of us, but as a member of the ""Doc Caucus,"" I look forward to being a leading voice on healthcare issues.","video","https://www.facebook.com/RogerMarshallMD/videos/234269073684777/",NA,23,3,2,0,0,0,0,0
"rogermarshallmd","232404617204556_234773476967670","Congressman Roger Marshall, M.D.","2017-01-07","2017-01-07 16:05:07","Read my op-ed in the Salina Journal. You have long demanded change in our bureaucratic regulatory process. This week, we started to deliver on that demand, and put ""REINS"" on the Executive Branch.","link","http://www.salina.com/opinion/columns/reining-in-regulations/article_030309cd-4f8f-547a-be75-9cc6be7bbc09.html","salina.com",23,3,7,0,0,0,0,0
"rogermarshallmd","232404617204556_234879293623755","Congressman Roger Marshall, M.D.","2017-01-07","2017-01-07 21:44:07","It was my honor this morning to talk with General Joseph Dunford, Chairman of the Joint Chiefs of Staff. He spoke to a bipartisan group of freshmen Members of Congress. Also pictured is Congresswoman Lisa Blunt Rochester.  We discussed the competitive advantage the US military has over our adversaries, and the reality that this advantage is eroding. General Dunford acknowledged these challenges, but reminded us that the quality of our military is A+.  He discussed many issues with us, the most pressing of which is our need for a coordinated effort to fight radical Islamic terror, and about the dawning of the age of cyber warfare.  We also discussed the various state actors around the world. We talked about the military and intelligence operations being built in Russia as they also try to undermine our credibility in NATO.  General Dunford also talked about China, North Korea, and the various challenges those countries are causing diplomatically.  The Chairman stressed the importance of a long-term bipartisan plan to give consistency, investment and strength to our armed forces and their leadership. I look forward to working with my colleagues to provide that plan.","photo","https://www.facebook.com/RogerMarshallMD/photos/a.232963460482005.1073741828.232404617204556/234879293623755/?type=3",NA,76,3,7,0,0,0,0,0
"rogermarshallmd","232404617204556_235657116879306","Congressman Roger Marshall, M.D.","2017-01-09","2017-01-09 20:46:39","Today, we recognize National Law Enforcement Appreciation Day. I have joined several of my colleagues in signing a letter to the President recognizing the day, as well as placing blue lights in our office windows.  As the son of a Chief of Police, I have lived my whole life respecting the men and women who put their lives on the line for our public order and safety.   Last year, around 140 officers were killed in the line of duty. The least we can do is honor their memory, thank the officers who serve daily, and recognize those who have served.","photo","https://www.facebook.com/RogerMarshallMD/photos/a.232963460482005.1073741828.232404617204556/235657116879306/?type=3",NA,59,3,7,4,0,0,0,0
"rogermarshallmd","232404617204556_236596526785365","Congressman Roger Marshall, M.D.","2017-01-11","2017-01-11 13:46:53","Just wrapped up breakfast with other physicians in Congress, and former Speaker of the House, Newt Gingrich. It was great to hear his take on solving the many healthcare problems we face! We remain committed to improving our healthcare system in the coming Congress.","photo","https://www.facebook.com/RogerMarshallMD/photos/a.232963460482005.1073741828.232404617204556/236596526785365/?type=3",NA,87,4,0,3,0,0,0,0
"rogermarshallmd","232404617204556_236636720114679","Congressman Roger Marshall, M.D.","2017-01-11","2017-01-11 15:07:25","I am honored to have been selected to the House Agriculture Committee.   We committed to getting the Big 1st a seat back on the Ag Committee. I’m proud to be able to say today that we have delivered on that promise.","video","https://www.facebook.com/RogerMarshallMD/videos/236636720114679/",NA,194,26,58,4,0,0,0,0
"rogermarshallmd","232404617204556_237166876728330","Congressman Roger Marshall, M.D.","2017-01-12","2017-01-12 15:09:28","I enjoyed talking with Spencer Chase of Agri-Pulse Communications, Inc. about the work we look forward to on the House Agriculture Committee, as well as my tie, designed by my then-11-year-old daughter Lauren!","photo","https://www.facebook.com/RogerMarshallMD/photos/a.232963460482005.1073741828.232404617204556/237166876728330/?type=3",NA,22,0,5,0,0,0,0,0
"rogermarshallmd","232404617204556_237347546710263","Congressman Roger Marshall, M.D.","2017-01-12","2017-01-12 22:21:22","I am honored to be selected to join the House Small Business Committee.  As someone who has spent many years leading businesses in a variety of fields, I look forward to adding a rural Kansas perspective to the group!","link","http://smallbusiness.house.gov/news/email/show.aspx?ID=F3ND3GWVCQZFHIJCMD3YB2CC6I","smallbusiness.house.gov",61,1,0,0,0,0,0,0
