"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"sen.johncornyn","75755694423_10154827971504424","John Cornyn","2017-01-04","2017-01-04 00:38:35","Members of the Senate were officially sworn in today. Looking forward to continuing our work on behalf of the American people with a Republican majority.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154827971354424/?type=3",NA,251,88,13,15,0,2,2,12
"sen.johncornyn","75755694423_10154830376344424","John Cornyn","2017-01-04","2017-01-04 21:38:37","Obamacare is one of the largest, most colossal cases of consumer fraud perpetrated in the United States. Yesterday a resolution was introduced in the Senate to begin the process of repealing this failed health care law.","video","https://www.facebook.com/SenJohnCornyn/videos/10154830376344424/",NA,647,250,189,67,5,3,8,62
"sen.johncornyn","75755694423_10154833063684424","John Cornyn","2017-01-05","2017-01-05 22:36:12","Less than a year ago, Democrats called for a nine-person Supreme Court. We made it clear that the American people deserved a voice in who chooses the next Supreme Court Justice. The people have spoken, and Democrats have responded by threatening to block Supreme Court nominations indefinitely. What happened to #WeNeedNine?","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154833063684424/?type=3",NA,148,195,34,2,20,12,6,21
"sen.johncornyn","75755694423_10154834976469424","John Cornyn","2017-01-06","2017-01-06 16:58:05","We can do a lot better than Obamacare, and that’s what we intend to do—repeal Obamacare to give Americans more options for health care at a price people can afford. And don’t believe the propaganda: there will be an orderly, careful transition to ensure that no one falls through the cracks during this process.","video","https://www.facebook.com/SenJohnCornyn/videos/10154834976469424/",NA,274,307,80,25,7,3,2,46
"sen.johncornyn","75755694423_10154835723584424","John Cornyn","2017-01-06","2017-01-06 21:52:30","Today the House and Senate met for a joint session of Congress to tally the votes of the Electoral College. Mr. Trump was certified President-elect of the United States, and Mr. Pence was certified Vice President-elect of the United States. Here’s a video of the Senate pages carrying the ballot boxes through the Capitol rotunda to the House chamber.","video","https://www.facebook.com/SenJohnCornyn/videos/10154835723584424/",NA,187,63,37,32,5,0,14,11
"sen.johncornyn","75755694423_10154843944644424","John Cornyn","2017-01-09","2017-01-09 20:20:39","Thankful today and every day for our law enforcement #heroesinblue. I look forward to continuing to work with the law enforcement community, and hope you’ll join me in thanking these brave individuals today for Law Enforcement Appreciation Day.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154293031069424/?type=3",NA,145,39,0,13,3,0,0,2
"sen.johncornyn","75755694423_10154847337774424","John Cornyn","2017-01-11","2017-01-11 02:04:12","Senator Jeff Sessions has a good record prosecuting the Ku Klux Klan, voting for the Voting Rights Act, and prosecuting voter fraud when minority communities have been denied their right to vote. And I think as Attorney General, he’ll be able to tell President Trump no when he has to, based on the law of the land. Democrats have said they want to slow down President-elect Trump’s cabinet nominees, and I believe a lot of this is posturing for show.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154847333569424/?type=3",NA,218,183,19,12,2,0,4,62
"sen.johncornyn","75755694423_10154854198249424","John Cornyn","2017-01-12","2017-01-12 19:20:10","Early this morning I voted for the Obamacare repeal resolution. This will give Congress the tools it needs to repeal this failing health care law. I am committed to a careful, orderly transition to health care solutions that work.","status",NA,NA,1380,942,111,119,3,5,29,534
"sen.johncornyn","75755694423_10154854199104424","John Cornyn","2017-01-13","2017-01-13 00:43:46","Today at a Senate Intel Committee confirmation hearing, I questioned President-elect Trump’s nominee to be CIA Director, Congressman Mike Pompeo. Our intelligence gathering capabilities are critical. The brave people who conduct these activities should not have to restrain their lawful activities for fear of political retribution.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154854199104424/?type=3",NA,109,67,9,6,0,1,4,6
"sen.johncornyn","75755694423_10154863192669424","John Cornyn","2017-01-15","2017-01-15 15:06:12","The Capitol is buzzing with folks rehearsing for Friday's inauguration of President-elect Donald J. Trump. Here's a peek at the platform.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154863192669424/?type=3",NA,180,72,25,31,2,1,25,9
"sen.johncornyn","75755694423_10154867612424424","John Cornyn","2017-01-17","2017-01-17 02:50:51","Today we remember and celebrate the legacy of Dr. Martin Luther King, Jr. I was honored to participate in the march in my hometown of San Antonio and was reminded of this quote from Dr. King: ""Life's most persistent and urgent question is, 'What are you doing for others?'""","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154867612424424/?type=3",NA,170,51,12,12,0,0,0,0
"sen.johncornyn","75755694423_10154869317199424","John Cornyn","2017-01-17","2017-01-17 18:26:36","With General James Mattis, the next Secretary of Defense, talking defense budget, cybersecurity, readiness, allies, and support for the F-35 Joint Strike Fighter program.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154869317199424/?type=3",NA,150,48,7,10,0,1,1,1
"sen.johncornyn","75755694423_10154871493459424","John Cornyn","2017-01-18","2017-01-18 14:06:38","Photos from my travels around the state","photo","https://www.facebook.com/SenJohnCornyn/photos/a.10153893425184424.1073741982.75755694423/10154871493459424/?type=3",NA,3164,1910,231,180,27,20,26,395
"sen.johncornyn","75755694423_10154875228304424","John Cornyn","2017-01-19","2017-01-19 20:19:05","Thanks to the more than 300 Texans who showed up at Texas Thursday Coffee today, and special thanks to the Lil' Wranglers and Elite Wranglers for performing for us! If you’re ever in DC on a Thursday when the Senate is in session, be sure to RSVP on the website to attend coffee with me.","video","https://www.facebook.com/SenJohnCornyn/videos/10154875228304424/",NA,362,57,76,30,0,3,0,1
"sen.johncornyn","75755694423_10154878450159424","John Cornyn","2017-01-20","2017-01-20 21:59:42","Scenes from the inauguration of President Donald J. Trump and Vice President Mike Pence.  #Inauguration2017","photo","https://www.facebook.com/SenJohnCornyn/photos/a.174213879423.117966.75755694423/10154878445459424/?type=3",NA,256,54,10,25,1,0,36,13
"sen.johncornyn","75755694423_10154878683464424","John Cornyn","2017-01-20","2017-01-20 23:35:15","The world witnessed a peaceful transition of power today-a hallmark of our democracy. The Senate took critical next steps by confirming two of President Trump's cabinet nominees, Jim Mattis as Secretary of Defense and John Kelly as Secretary of Homeland Security. I met with both of these men recently and am confident in their ability to lead. Unfortunately, Senate Democrats continue to obstruct other well-qualified, non-controversial cabinet nominees in a spiteful attempt to deny the President his team. It's particularly alarming that Democrats are holding up a vote on the nominee to be CIA Director. The election is over, and it's time for Democrats to drop this divisive strategy for the good of the country.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.174213879423.117966.75755694423/10154878683254424/?type=3",NA,312,235,18,14,20,1,5,44
"sen.johncornyn","75755694423_10154888383269424","John Cornyn","2017-01-23","2017-01-23 13:56:47","Had a chance recently to speak at the Texas Public Policy Foundation with Senator Ted Cruz about cabinet nominees and what to expect in DC over the next few weeks.","video","https://www.facebook.com/SenJohnCornyn/videos/10154888383269424/",NA,134,151,33,8,0,0,12,22
"sen.johncornyn","75755694423_10154890014044424","John Cornyn","2017-01-23","2017-01-23 22:14:25","This week is National School Choice week. A good education is the foundation for success, and school choice empowers parents to make the best educational decisions for their children. #SchoolChoice","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154890014044424/?type=3",NA,253,425,58,18,1,1,10,210
"sen.johncornyn","75755694423_10154893776424424","John Cornyn","2017-01-24","2017-01-24 18:09:52","For years, the previous Administration inexplicably robbed this country of tens of thousands of new jobs and a chance to become less dependent on unstable sources of energy. Today’s decision by President Trump will boost the economy, strengthen national security, and help Texans and all Americans have more access to affordable energy.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154893776424424/?type=3",NA,630,465,84,71,3,1,13,366
"sen.johncornyn","75755694423_10154898832049424","John Cornyn","2017-01-25","2017-01-25 23:53:50","Legislation update: I’ve signed on to cosponsor the Death Tax Repeal Act of 2017 to permanently repeal the federal estate tax. Punishing families for the death of a loved one with a burdensome tax suffocates the finances of ranches and small businesses across Texas and America. Repealing the death tax is another step toward reducing unnecessary taxation and regulation to strengthen our economy.","status",NA,NA,2085,379,283,238,2,7,1,74
"sen.johncornyn","75755694423_10154901910639424","John Cornyn","2017-01-27","2017-01-27 01:08:02","Legislation update: This week I introduced the Iran Non-nuclear Sanctions Act with Senator Marco Rubio and Senator Todd Young. Iran remains the world’s foremost state sponsor of terror and the biggest destabilizing force in the Middle East. It’s time to impose real economic consequences for Iran’s actions to make clear that we oppose Iran’s human rights abuses, terrorist activities around the world, and pursuit of ballistic missile capabilities.   The Iran Non-nuclear Sanctions Act, among other things, would impose sanctions against Iran’s Islamic Revolutionary Guard Corps (IRGC) and Mahan Air, an Iranian airline that has helped the IRCG to spread terrorism and militancy; expand current sanctions and impose new sanctions against Iran for its egregious human rights abuses, while also mandated full transparency to Congress on all American citizens detained or kidnapped by Iran; impose sanctions on persons involved in sectors of Iran’s economy that support, directly or indirectly, Iran’s ballistic program; and codify current prohibitions against Iran’s direct and indirect access to the U.S. financial system.","status",NA,NA,166,103,11,10,0,0,3,19
"sen.johncornyn","75755694423_10154903419044424","John Cornyn","2017-01-27","2017-01-27 15:39:07","Every year, hundreds of thousands of folks descend on Washington and gather around the country to march for the rights of the unborn. Today, I stand with you in solidarity and will continue the fight for life.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154903419044424/?type=3",NA,633,377,85,85,1,1,9,167
"sen.johncornyn","75755694423_10154906073594424","John Cornyn","2017-01-28","2017-01-28 15:49:12","Great to be back in Texas. Thanks to Clem and the folks at Mikeska's BBQ for showing me around and sharing a delicious meal.","video","https://www.facebook.com/SenJohnCornyn/videos/10154906073594424/",NA,265,283,30,13,0,1,2,39
"sen.johncornyn","75755694423_10154912104614424","John Cornyn","2017-01-30","2017-01-30 18:33:30","Photos from my travels around the state","photo","https://www.facebook.com/SenJohnCornyn/photos/a.10153893425184424.1073741982.75755694423/10154912104614424/?type=3",NA,3164,1910,231,180,27,20,26,395
"sen.johncornyn","75755694423_10154913094374424","John Cornyn","2017-01-31","2017-01-31 00:37:35","Regarding the President’s recent executive order on immigration: public safety is the number one responsibility of the federal government. I support the vetting of refugees and immigrants coming into our country, but I oppose blanket exclusion of anybody according to their religion. That’s not what America is all about.","status",NA,NA,2052,970,275,133,5,15,10,192
"sen.johncornyn","75755694423_10154913503854424","John Cornyn","2017-01-31","2017-01-31 02:47:33","I wanted to share with you some of the highlights of the first few weeks of this Congress. We’re ready to get to work.","video","https://www.facebook.com/SenJohnCornyn/videos/10154913503854424/",NA,190,333,19,9,2,1,12,98
"sen.johncornyn","75755694423_10154916517979424","John Cornyn","2017-02-01","2017-02-01 01:19:10","Judge Gorsuch is an excellent choice to serve as our next Supreme Court Justice. I look forward to supporting his nomination.","video","https://www.facebook.com/SenJohnCornyn/videos/10154916517979424/",NA,817,286,55,77,3,4,17,356
"sen.johncornyn","75755694423_10154918247939424","John Cornyn","2017-02-01","2017-02-01 16:26:42","Today, I voted to move forward the nomination of Jeff Sessions to be the next Attorney General. I’ve had the honor of serving alongside Senator Sessions on the Judiciary Committee since I was first elected to the Senate. Senator Sessions has devoted his life to public service, and his qualifications cannot be questioned. He has a history of protecting and defending the Constitution and the rule of law for all people. Senator Sessions is the right choice to serve as our nation’s top law enforcement officer, and I look forward to confirming him as Attorney General soon.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154918247939424/?type=3",NA,901,879,74,92,6,5,48,1179
"sen.johncornyn","75755694423_10154919065419424","John Cornyn","2017-02-01","2017-02-01 21:09:29","Today I voted to confirm Rex Tillerson as Secretary of State. I believe him to be a person of conviction, competence, and character. Rex believes in putting this country first, and I have no doubt that he’ll serve the American people with great integrity and care.","status",NA,NA,792,751,20,56,6,3,26,731
"sen.johncornyn","75755694423_10154919839124424","John Cornyn","2017-02-02","2017-02-02 03:04:07","I was able to spend some time with Judge Gorsuch today. His resume, background, and impartiality in applying the text of the Constitution are universally respected. I believe him to be eminently well-qualified to serve on the Supreme Court and look forward to his confirmation.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154919839124424/?type=3",NA,686,792,38,57,0,5,16,466
"sen.johncornyn","75755694423_10154932826954424","John Cornyn","2017-02-06","2017-02-06 17:29:58","Like many great Texas heroes, the first African-American to earn the Navy Cross started from humble beginnings. Doris “Dorie” Miller failed eighth grade twice and was deemed unsuitable for a Depression-era government assistance job by the age of 19. This didn’t stop him from fighting his way into a job on the USS West Virginia. During the attack on Pearl Harbor in 1941, he heard a roar as Japanese bombs hit his ship. He had no experience with anti-aircraft weapons, but Dorie didn’t hesitate when he spotted an unmanned machine gun station and took aim at the incoming Japanese bombers.   Men who served alongside him that day recall Dorie shooting down as many as six Japanese bombers, although the true number has never been known. Sadly, Dorie’s heroic service in defense of his country came to an end two years later when a Japanese torpedo dealt a fatal blow to the USS Liscome Bay. As we know, Dorie’s story is just one of the many incredible biographies that started here in Texas. I’m proud to honor his  legacy in celebration of #BlackHistoryMonth.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154932826954424/?type=3",NA,532,207,124,57,0,1,14,4
"sen.johncornyn","75755694423_10154933518424424","John Cornyn","2017-02-06","2017-02-06 21:30:01","This week, I’ll be voting to confirm Betsy DeVos as Secretary of Education. Power over education should be handed back down to the states, so that parents and teachers can choose how best to accomplish our universal goal of making sure every child has a good education. Ms. DeVos will lead this effort, so that parents, teachers and our local school districts will have a greater role in these important decisions.","photo","https://www.facebook.com/SenJohnCornyn/photos/a.112318184423.92543.75755694423/10154933518424424/?type=3",NA,3762,36849,5626,225,79,98,3505,30552
