"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatorcantwell","1657057011237862_1852340755042819","Senator Maria Cantwell","2017-01-03","2017-01-03 22:23:43","As new senators are sworn in for the 115th Congress, I look forward to keeping up the fight for progress for Washington state and our country. I will continue working to create an economy that helps strengthens the Middle Class, to provide affordable, high-quality health care, to make our nation more secure and energy independent, to protect workers and consumers, to foster innovation for tomorrow and to ensure we educate students with the skills to succeed. I will also stand up to anyone who threatens our shared values and attempts to legislate bigotry or hate. Together, we can achieve progress and strengthen our great nation.","status",NA,NA,761,103,22,56,0,0,4,2
"senatorcantwell","1657057011237862_1853780258232202","Senator Maria Cantwell","2017-01-05","2017-01-05 21:42:03","Speaker Ryan and the GOP are playing politics with women's health. I stand with Planned Parenthood and the critical healthcare they provide to more than 100,000 women & families across Washington. Like and share to join me in fighting for a woman’s full access to healthcare.","link","http://www.cnn.com/2017/01/05/politics/paul-ryan-planned-parenthood-obamacare/index.html","cnn.com",2083,307,671,114,2,5,32,354
"senatorcantwell","1657057011237862_1854383938171834","Senator Maria Cantwell","2017-01-06","2017-01-06 18:24:58","I’ve introduced legislation that would protect Washington, Oregon, and California coasts from offshore drilling. Our West Coast supports thousands of jobs from fisheries, trade, tourism and recreation—which could all be devastated by an oil spill. We must permanently ban offshore drilling on the West Coast to protect our coastal communities, economies, and ecosystems against the risk of an oil spill and make investments in clean energy alternatives to help meet America’s energy needs.","link","https://www.cantwell.senate.gov/news/press-releases/cantwell-murray-introduce-bill-to-protect-the-pacific-coast-from-offshore-drilling","cantwell.senate.gov",1694,154,219,215,0,4,2,15
"senatorcantwell","1657057011237862_1856343274642567","Senator Maria Cantwell","2017-01-09","2017-01-09 23:42:46","Today, I called on Republicans to end efforts to repeal the Affordable Care Act that would take health care away from more than 750,000 Washingtonians and 20 million Americans, and put it in the hands of special interests and Wall Street. Repealing the ACA is stealing healthcare from hardworking Americans, and I urge my colleagues to turn that down. It is important that we do not repeal the Affordable Care Act without any idea what we are replacing it with.","video","https://www.facebook.com/senatorcantwell/videos/1856343274642567/",NA,2434,486,371,233,9,6,11,51
"senatorcantwell","1657057011237862_1856797481263813","Senator Maria Cantwell","2017-01-10","2017-01-10 18:49:03","In Science Magazine President Obama makes the business case for investing in clean energy technologies. We’ve already seen investments in clean energy technologies by business leaders like Bill Gates and Jeff Bezos spearheading the development and innovation of technologies that will deliver reliable, affordable, clean energy to consumers. Walking away from future investments in clean energy would hurt one of our best chances to innovative solutions to today’s climate challenges.","link","http://science.sciencemag.org/content/early/2017/01/06/science.aam6284.full?utm_source=sciencemagazine&utm_medium=twitter&utm_campaign=obamaPF-10288","science.sciencemag.org",312,46,33,22,1,2,2,1
"senatorcantwell","1657057011237862_1856874881256073","Senator Maria Cantwell","2017-01-10","2017-01-10 21:42:24","I was proud to help the Washington Apple Health (Medicaid) program and the federal government come to an agreement to approve a Medicaid Waiver that allows Washington to test new and innovative approaches to keeping people healthy, reducing unnecessary hospital and nursing home stays, and driving down costs to taxpayers. A great step towards a healthier Washington state!","link","http://www.hca.wa.gov/about-hca/healthier-washington/medicaid-transformation#updates","hca.wa.gov",285,178,20,28,4,0,0,1
"senatorcantwell","1657057011237862_1858568081086753","Senator Maria Cantwell","2017-01-12","2017-01-12 20:27:10","This fight is not over. I will do all I can to protect the gains we’ve made in the Affordable Care Act.","video","https://www.facebook.com/senatorcantwell/videos/1858568081086753/",NA,1820,832,345,222,18,9,24,165
"senatorcantwell","1657057011237862_1860247910918770","Senator Maria Cantwell","2017-01-15","2017-01-15 20:13:19","The trend of hate and intolerance we have seen at the Islamic Center of the Eastside in Bellevue is deeply disturbing and does not reflect the core values of our state. In Washington state we uphold the belief that injustice anywhere is a threat to justice everywhere, and actions that threaten the safety of our minority communities threaten the safety of us all. We must fight injustice and condemn hate crimes against our fellow Americans.","link","http://q13fox.com/2017/01/14/man-arrested-after-overnight-fire-at-bellevue-mosque/","q13fox.com",319,114,120,8,2,6,305,218
"senatorcantwell","1657057011237862_1861441010799460","Senator Maria Cantwell","2017-01-16","2017-01-16 19:35:31","Today, Dr. King’s vision endures and his dream lives on. We celebrate the life of an American civil rights leader who led a nation to confront injustice, stand against discrimination and open doors of opportunity. The power of his words and strength of his leadership remain a source of guidance as we work to ensure the rights of all Americans are protected.","photo","https://www.facebook.com/senatorcantwell/photos/a.1666569090286654.1073741830.1657057011237862/1861441010799460/?type=3",NA,300,81,11,33,0,0,0,1
"senatorcantwell","1657057011237862_1862137224063172","Senator Maria Cantwell","2017-01-17","2017-01-17 23:18:32","Information on labor violations by companies owned, chaired, or substantially managed by Trump nominees must be public so Congress and the American people can adequately evaluate their suitability. That is why I’ve joined U.S. Senator Elizabeth Warren and other Senate Democrats asking the U.S. Department of Labor to fulfill the Center for American Progress' FOIA request for any information related to past or ongoing investigations by the DOL.","link","https://www.cantwell.senate.gov/news/press-releases/democratic-senators-ask-labor-department-to-fulfill-foia-request-of-trump-nominee-labor-violations","cantwell.senate.gov",824,115,95,35,3,5,12,3
"senatorcantwell","1657057011237862_1862503480693213","Senator Maria Cantwell","2017-01-18","2017-01-18 18:17:45","Yesterday I pressed President-Elect Trump’s nominee to be Secretary of the Interior, Rep. Ryan Zinke for his commitment to preserve our public lands, protect our natural resources and work to minimize environmental harm as we are faced with the growing dangers of climate change.","video","https://www.facebook.com/senatorcantwell/videos/1862503480693213/",NA,210,77,12,17,0,2,3,7
"senatorcantwell","1657057011237862_1863606983916196","Senator Maria Cantwell","2017-01-20","2017-01-20 15:46:56","Thank you President Obama, you have honored our nation with your service. For 8 years you have courageously fought for the justice and equality of all Americans.","photo","https://www.facebook.com/senatorcantwell/photos/a.1666569090286654.1073741830.1657057011237862/1863606983916196/?type=3",NA,1063,61,38,179,11,1,6,5
"senatorcantwell","1657057011237862_1864297010513860","Senator Maria Cantwell","2017-01-21","2017-01-21 20:37:25","Today, we stand together in numbers too great to ignore to send a strong message to the new administration. We reject the violent words and actions we have witnessed against women, immigrants, people of color and marginalized communities. We will fight, and not stop until women’s rights, human rights, equality and justice are achieved.","photo","https://www.facebook.com/senatorcantwell/photos/a.1666569090286654.1073741830.1657057011237862/1864297010513860/?type=3",NA,2647,197,204,414,3,3,2,16
"senatorcantwell","1657057011237862_1864979780445583","Senator Maria Cantwell","2017-01-22","2017-01-22 20:26:15","On the 44th anniversary of Roe v. Wade, reproductive rights face an uncertain future. Attacks on women’s health by those in the new administration are well documented, and include denying access to contraception and abortion. It has never been more important that we double down on our commitment to protect access to safe, affordable health care and reproductive freedom.","photo","https://www.facebook.com/senatorcantwell/photos/a.1666569090286654.1073741830.1657057011237862/1864979780445583/?type=3",NA,714,104,68,99,0,0,25,6
"senatorcantwell","1657057011237862_1865036753773219","Senator Maria Cantwell","2017-01-22","2017-01-22 21:52:23",NA,"photo","https://www.facebook.com/senatorcantwell/photos/a.1865035390440022.1073741850.1657057011237862/1865036353773259/?type=3",NA,1247,173,45,5,0,0,0,0
"senatorcantwell","1657057011237862_1865898550353706","Senator Maria Cantwell","2017-01-23","2017-01-23 22:41:41","President Trump’s choice to head the Federal Communications Commission opposes strong Net Neutrality rules that protect an open internet and support millions of jobs in the robust internet economy. This is disappointing, and contradicts his campaign pledges to grow the economy, protect and create new jobs. Erasing Net Neutrality rules would put everyday internet users and small business owners at a disadvantage. All Americans deserve equal access to an open Internet.","photo","https://www.facebook.com/senatorcantwell/photos/a.1666569090286654.1073741830.1657057011237862/1865898550353706/?type=3",NA,696,103,157,25,1,8,21,80
"senatorcantwell","1657057011237862_1866998480243713","Senator Maria Cantwell","2017-01-25","2017-01-25 18:01:42","We need a commitment to protect and strengthen Medicaid – not attack it. A war on Medicaid is not the answer.","video","https://www.facebook.com/senatorcantwell/videos/1866998480243713/",NA,962,138,121,90,0,8,1,6
"senatorcantwell","1657057011237862_1867142840229277","Senator Maria Cantwell","2017-01-25","2017-01-25 23:23:12","Our infrastructure is crumbling and old. That’s why I joined U.S. Senate Democrats in introducing a plan to rebuild America’s crumbling roads, bridges and ports, updated our energy infrastructure, expand broadband in rural communities, modernize VA hospitals and rebuild public schools. A $1 trillion dollar infrastructure investment would produce 15 million new jobs, save consumers money and help our businesses compete.","video","https://www.facebook.com/senatorcantwell/videos/1867142840229277/",NA,536,121,36,38,4,0,0,1
"senatorcantwell","1657057011237862_1867736396836588","Senator Maria Cantwell","2017-01-26","2017-01-26 21:24:19","#TBT to one of my favorite moments at the Seattle Womxn's March. Our young people are the future, and the ones we must inspire to keep marching.","photo","https://www.facebook.com/senatorcantwell/photos/a.1666569090286654.1073741830.1657057011237862/1867736396836588/?type=3",NA,606,75,19,84,0,0,1,3
"senatorcantwell","1657057011237862_1867801326830095","Senator Maria Cantwell","2017-01-27","2017-01-27 00:26:30","Public education boosts millions out of poverty and gives every student a chance to succeed. Yet Betsy DeVos misses the importance of public schools to working families. When it came to protecting students with disabilities, Mrs. DeVos showed a lack of understanding for federal disability laws in education that ensure every child receives a high-quality education. We need a Secretary of Education who will move public education forward and ensure all children are getting the best education possible. I will be voting NO on Mrs. DeVos’ nomination.","link","https://www.cantwell.senate.gov/news/press-releases/cantwell-to-vote-no-betsy-devos-nomination-for-secretary-of-education","cantwell.senate.gov",12302,2708,1436,1682,10,15,10,80
"senatorcantwell","1657057011237862_1868233936786834","Senator Maria Cantwell","2017-01-27","2017-01-27 19:56:50","President Trump’s recent gag order to all federal agencies to silence communications with the public and members of Congress promotes a culture of fear among federal employees, and prevents them from serving the American public. The American people expect an open, transparent and honest government, and this recent directive is contrary to that expectation. http://www.bainbridgereview.com/news/cantwell-joins-fellow-senators-in-call-on-trump-to-pull-back-gag-order/","photo","https://www.facebook.com/senatorcantwell/photos/a.1666569090286654.1073741830.1657057011237862/1868233936786834/?type=3",NA,1581,203,188,73,2,2,12,111
"senatorcantwell","1657057011237862_1868277756782452","Senator Maria Cantwell","2017-01-28","2017-01-28 03:05:02","President Trump’s recent gag order to all federal agencies to silence communications with the public and members of Congress promotes a culture of fear among federal employees, and prevents them from serving the American public. The American people expect an open, transparent and honest government, and this recent directive is contrary to that expectation.","link","http://www.bainbridgereview.com/news/cantwell-joins-fellow-senators-in-call-on-trump-to-pull-back-gag-order/","bainbridgereview.com",3098,274,344,161,2,8,4,133
