"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatordebfischer","531623656856934_1033602496772602","Senator Deb Fischer","2017-04-27","2017-04-27 20:05:43","Polk County Stromsburg Public Library Meeting Room 320 Central Street Stromsburg, NE 68666 10:30 a.m. – 11:30 a.m. CT   These office hours serve as a convenient opportunity for constituents to meet personally with Senator Fischer’s staff to receive help with casework and other issues at the federal level.","event","https://www.facebook.com/events/1033602496772602/",NA,4,2,0,0,2,0,0,1
"senatordebfischer","531623656856934_119519441936367","Senator Deb Fischer","2017-04-27","2017-04-27 20:11:07","Merrick County Merrick County Courthouse First Floor 1510 18th Street Central City, NE 68826 1:00 p.m. – 2:00 p.m. CT  These office hours serve as a convenient opportunity for constituents to meet personally with Senator Fischer’s staff to receive help with casework and other issues at the federal level.","event","https://www.facebook.com/events/119519441936367/",NA,4,5,0,0,0,0,0,1
"senatordebfischer","531623656856934_121446111740868","Senator Deb Fischer","2017-04-27","2017-04-27 20:15:58","Burt County Oakland Public Library 110 E. 3rd Street Oakland, NE 68045 1:00 p.m.- 2:00 p.m. CT  These office hours serve as a convenient opportunity for constituents to meet personally with Senator Fischer’s staff to receive help with casework and other issues at the federal level.","event","https://www.facebook.com/events/121446111740868/",NA,1,1,0,0,0,0,0,1
"senatordebfischer","531623656856934_1356200884399203","Senator Deb Fischer","2017-01-01","2017-01-01 14:00:00","An exciting new year filled with opportunity is before us. #HappyNewYear #2017","photo","https://www.facebook.com/senatordebfischer/photos/a.538624346156865.125357.531623656856934/1356200884399203/?type=3",NA,49,10,0,1,0,0,0,2
"senatordebfischer","531623656856934_1368798149806143","Senator Deb Fischer","2017-01-03","2017-01-03 13:49:57","The 115th Congress begins today. My goal for it is simple: empower Americans to pursue a hopeful future, remove the roadblocks before them, and keep them safe along the journey. Read more about my priorities for 2017 in my op-ed in today’s Omaha World-Herald.","link","http://www.omaha.com/opinion/deb-fischer-a-new-chapter-for-u-s-begins-today/article_f5983f9d-268d-595f-99a9-a0d0395ad82a.html","omaha.com",164,90,7,6,1,0,4,8
"senatordebfischer","531623656856934_1368897553129536","Senator Deb Fischer","2017-01-03","2017-01-03 16:20:35",NA,"photo","https://www.facebook.com/senatordebfischer/photos/a.536065306412769.124995.531623656856934/1368897553129536/?type=3",NA,205,73,17,10,0,0,0,15
"senatordebfischer","531623656856934_1371428176209807","Senator Deb Fischer","2017-01-06","2017-01-06 13:21:48","Bruce and I are saddened to hear about the passing of former Nebraska State Senator John Wightman. John was a kind man and strong and  honorable legislator. He will be remembered for his loyalty and dedication to those he served. Loved by all who knew him, John’s smile and that special twinkle in his eye as he kidded with friends will be missed by so many. We send our sincerest condolences and prayers to the Wightman family during this difficult time.","link","http://nebraska.tv/news/local-politics/former-state-senator-john-wightman-dies-at-age-78","nebraska.tv",32,8,1,2,0,1,17,0
"senatordebfischer","531623656856934_1371792976173327","Senator Deb Fischer","2017-01-06","2017-01-06 22:10:34","I’m deeply honored to nominate 45 outstanding young men and women from Nebraska to our nation’s prestigious service academies. Read more about these talented Nebraskans who will continue our state’s proud tradition of military service:","link","https://goo.gl/W0wmJu","goo.gl",110,42,28,7,0,2,1,2
"senatordebfischer","531623656856934_1375191672500124","Senator Deb Fischer","2017-01-10","2017-01-10 19:49:31","Today in a Senate Armed Services Committee hearing on civilian control of the Armed Forces, I questioned Dr. Eliot Cohen and Dr. Kathleen Hicks about the growing trend of centralized national security decision-making in insular White House staffs. Both witnesses expressed their support for Gen. Mattis’s nomination and confirmed what I wrote in a recent Independent Journal Review op-ed: the selection of Gen. James Mattis for Secretary of Defense and others forecasts the restoration of the true role of the cabinet secretary as an influential counselor who has the president’s ear. Restoring cabinet secretaries will also reinforce the role of Congress and its ability to conduct oversight and hold our government more accountable. Read my op-ed here: https://goo.gl/Hfd48U","video","https://www.facebook.com/senatordebfischer/videos/1375191672500124/",NA,53,41,8,0,0,0,1,3
"senatordebfischer","531623656856934_1376950458990912","Senator Deb Fischer","2017-01-12","2017-01-12 14:22:07","Had a great meeting yesterday with Lieutenant General Timothy Kadavy, the director of the Army @NationalGuard and a great Nebraskan #Service #ProudNebraskan","photo","https://www.facebook.com/senatordebfischer/photos/a.538624346156865.125357.531623656856934/1376950458990912/?type=3",NA,144,20,3,4,0,0,0,5
"senatordebfischer","531623656856934_1377339688951989","Senator Deb Fischer","2017-01-12","2017-01-12 22:46:39","General Mattis will bring “a mighty heart” to the job of Secretary of Defense. Watch my interview with MSNBC regarding his confirmation hearing:","video","https://www.facebook.com/senatordebfischer/videos/1377339688951989/",NA,92,51,11,2,0,1,0,14
"senatordebfischer","531623656856934_1378253052193986","Senator Deb Fischer","2017-01-14","2017-01-14 13:00:00","This week, the Senate voted to put the tools in place to repeal ObamaCare. Now, we can begin the process of putting the American people back in charge of their health care. I am committed to working with my colleagues, on both sides of the aisle, to deliver the results the American people need and deserve. It’s the right thing to do.","video","https://www.facebook.com/senatordebfischer/videos/1378253052193986/",NA,305,686,47,6,10,3,25,328
"senatordebfischer","531623656856934_1378284405524184","Senator Deb Fischer","2017-01-16","2017-01-16 14:02:47","“The time is always right to do what is right.” #MartinLutherKingJrDay","photo","https://www.facebook.com/senatordebfischer/photos/a.538624346156865.125357.531623656856934/1378284405524184/?type=3",NA,179,615,32,4,2,3,2,38
"senatordebfischer","531623656856934_1381988045153820","Senator Deb Fischer","2017-01-17","2017-01-17 21:14:17","I was excited to welcome Doane University journalism and pre-law students to the Senate today. They will witness history later this week at #Inauguration2017.","photo","https://www.facebook.com/senatordebfischer/photos/a.538624346156865.125357.531623656856934/1381988045153820/?type=3",NA,108,92,8,3,1,0,2,9
"senatordebfischer","531623656856934_1383983584954266","Senator Deb Fischer","2017-01-19","2017-01-19 22:41:02","It was wonderful to welcome so many Nebraskans to Washington for #Inauguration","photo","https://www.facebook.com/senatordebfischer/photos/a.1383982984954326.1073741860.531623656856934/1383983584954266/?type=3",NA,133,140,1,6,1,0,0,20
"senatordebfischer","531623656856934_1387678527918105","Senator Deb Fischer","2017-01-23","2017-01-23 19:21:21",NA,"photo","https://www.facebook.com/senatordebfischer/photos/a.536066053079361.124997.531623656856934/1387678527918105/?type=3",NA,265,930,24,10,4,1,9,166
"senatordebfischer","531623656856934_1391627537569056","Senator Deb Fischer","2017-04-27","2017-04-27 20:09:55","Nance County Nance County Courthouse 209 Esther Street Fullerton, NE 68638 10:00 a.m. – 11:00 a.m. CT  These office hours serve as a convenient opportunity for constituents to meet personally with Senator Fischer’s staff to receive help with casework and other issues at the federal level.","event","https://www.facebook.com/events/1391627537569056/",NA,0,2,0,0,0,0,0,1
"senatordebfischer","531623656856934_1392279710791320","Senator Deb Fischer","2017-01-27","2017-01-27 21:58:07","It was a full house at the Liberty Ladies luncheon in Lincoln this afternoon. I enjoyed providing them with an update about my work on the Senate Armed Services Committee. Through my work on this important committee, I am focused on protecting Nebraska families from the many dangers we face around the world. This is my fifth year serving on this committee. I am also honored to serve as the chairman of the Armed Services Subcommittee on Strategic Forces, which has oversight over STRATCOM.","photo","https://www.facebook.com/senatordebfischer/photos/a.538624346156865.125357.531623656856934/1392279710791320/?type=3",NA,117,688,15,2,4,0,2,56
"senatordebfischer","531623656856934_1396427210376570","Senator Deb Fischer","2017-02-01","2017-02-01 01:16:56","I am encouraged to see President Trump select a Supreme Court nominee with a sharp intellect, steady judicial temperament, and long history of upholding the rule of law. These are exactly the characteristics a Supreme Court justice should possess. The American people spoke in the last election, and the Senate now has the responsibility to act on their wishes with a thorough confirmation process. I look forward to reviewing Judge Gorsuch’s record in great detail as part of this vigorous ‘advice and consent’ process.","photo","https://www.facebook.com/senatordebfischer/photos/a.538624346156865.125357.531623656856934/1396427210376570/?type=3",NA,533,2334,45,42,7,2,8,312
