"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatordonnelly","168059529893610_1384510084915209","Senator Joe Donnelly","2017-01-02","2017-01-02 13:00:01","#GoodNews: The Marching Pride of Lawrence Township will perform at the historic Rose Parade in Pasadena, California today at 11 AM ET. http://indy.st/2iRcn3u","link","http://indy.st/2iRcn3u","indy.st",43,3,4,2,0,0,0,0
"senatordonnelly","168059529893610_1385298728169678","Senator Joe Donnelly","2017-01-01","2017-01-01 13:19:05","Wishing you a happy and healthy new year. –Joe","status",NA,NA,199,21,0,6,0,0,0,0
"senatordonnelly","168059529893610_1387854217914129","Senator Joe Donnelly","2017-01-04","2017-01-04 13:21:47","Joe has long advocated for improvements to the health care law, however, he reiterated today that he won’t support any effort that would create chaos in the insurance marketplace, increase premiums, or take away insurance from Hoosiers and Americans, including those with pre-existing conditions.","video","https://www.facebook.com/senatordonnelly/videos/1387854217914129/",NA,541,172,274,45,1,2,2,10
"senatordonnelly","168059529893610_1388081014558116","Senator Joe Donnelly","2017-01-04","2017-01-04 18:34:59","As the opioid abuse and heroin use epidemics harm Hoosier communities, Joe continues his tireless work to expand access to treatment and recovery services, provide first responders with naloxone, increase public awareness, and update best practices for pain management. In December, Joe helped the Senate pass the 21st Century Cures Act, which is now law, that includes $1 billion over the next two years to help combat this public health crisis. http://bit.ly/2iagnrS","link","http://bit.ly/2iagnrS","bit.ly",87,36,60,1,0,9,36,0
"senatordonnelly","168059529893610_1388982184467999","Senator Joe Donnelly","2017-01-05","2017-01-05 18:34:01","Joe was awarded the U.S. Department of Defense (DoD) Medal for Distinguished Public Service for his dedication to ensuring our Armed Forces and Hoosier servicemembers have the support and resources they need to succeed on the battlefield and here at home. It is the highest honor a civilian can receive from the DoD. http://bit.ly/2iIIoYo","photo","https://www.facebook.com/senatordonnelly/photos/a.178754685490761.42813.168059529893610/1388982184467999/?type=3",NA,184,21,32,17,0,0,0,0
"senatordonnelly","168059529893610_1389048877794663","Senator Joe Donnelly","2017-01-06","2017-01-06 01:00:00","Joe pressed for further details on Russian cyber attacks during a Senate Armed Services committee hearing on foreign cyber security threats our country is facing.","video","https://www.facebook.com/senatordonnelly/videos/1389048877794663/",NA,244,43,29,11,1,2,0,1
"senatordonnelly","168059529893610_1389094267790124","Senator Joe Donnelly","2017-01-05","2017-01-05 21:48:56","Joe praised the reported nomination of former-Senator Dan Coats to lead our nation’s intelligence community as President-elect Trump’s Director of National Intelligence.","photo","https://www.facebook.com/senatordonnelly/photos/a.178754685490761.42813.168059529893610/1389094267790124/?type=3",NA,75,34,7,3,1,1,0,8
"senatordonnelly","168059529893610_1389910997708451","Senator Joe Donnelly","2017-01-06","2017-01-06 19:29:49","Joe released his latest #JustaskJoe video, featuring Robert Tolliver, a Mount Vernon resident and two-time Vietnam veteran, who Joe helped secure a passport that Mr. Tolliver had trouble obtaining from the U.S. Department of State.","video","https://www.facebook.com/senatordonnelly/videos/1389910997708451/",NA,49,6,10,0,0,0,0,0
"senatordonnelly","168059529893610_1390044957695055","Senator Joe Donnelly","2017-01-08","2017-01-08 23:16:24","#ICYMI: Joe was awarded the U.S. Department of Defense (DoD) Medal of Distinguished Public Service for his dedication to ensuring our servicemembers have the support and resources they need to succeed on the battlefield and here at home.","video","https://www.facebook.com/senatordonnelly/videos/1390044957695055/",NA,279,22,19,14,0,1,0,0
"senatordonnelly","168059529893610_1392540467445504","Senator Joe Donnelly","2017-01-09","2017-01-09 19:13:13","Every day, Hoosier families and seniors rely on Medicare and HIP 2.0, which Vice President-elect Mike Pence established as Indiana Governor through Affordable Care Act. As the Senate debates a budget resolution, Joe introduced an amendment that would protect Medicare from privatization and protect insurance coverage for those who get their care through the Medicaid program, including the more than 200,000 Hoosiers who have coverage through HIP 2.0.","photo","https://www.facebook.com/senatordonnelly/photos/a.178754685490761.42813.168059529893610/1392540467445504/?type=3",NA,238,38,33,25,0,0,0,2
"senatordonnelly","168059529893610_1392728724093345","Senator Joe Donnelly","2017-01-10","2017-01-10 00:34:02","Joe is continuing his work to protect seniors and hard-working Hoosier families from devastating cuts to Medicare or Medicaid, including HIP 2.0. Joe spoke on the Senate floor today emphasizing he is willing to work with anyone, Republican or Democrat, to strengthen Medicare and Medicaid, however he will not support taking away health care with no alternative.","video","https://www.facebook.com/senatordonnelly/videos/1392728724093345/",NA,471,76,116,53,2,1,1,0
"senatordonnelly","168059529893610_1393525847346966","Senator Joe Donnelly","2017-01-10","2017-01-10 23:32:00","#ICYMI: Joe spoke on the Senate floor last night reiterating his willingness to work with anyone to strengthen and improve Medicare and Medicaid. In Indiana, more than 1 million Hoosiers rely on Medicare and more than 200,000 Hoosier get care through HIP 2.0, which Vice President-elect Mike Pence established as Indiana’s Governor through the Affordable Care Act.","video","https://www.facebook.com/senatordonnelly/videos/1393525847346966/",NA,122,38,13,8,1,0,0,1
"senatordonnelly","168059529893610_1394382350594649","Senator Joe Donnelly","2017-01-11","2017-01-11 23:07:49","Joe met with Vice President-elect Pence and discussed job creation and concerns over Russia.http://bit.ly/2j92kGI","photo","https://www.facebook.com/senatordonnelly/photos/a.178754685490761.42813.168059529893610/1394382350594649/?type=3",NA,154,51,14,7,1,1,1,3
"senatordonnelly","168059529893610_1394969057202645","Senator Joe Donnelly","2017-01-12","2017-01-12 14:00:07","It’s official: Indianans are out and Hoosiers are in. Joe and Senator Todd Young successfully pushed the federal government to change the designation of Indiana natives to “Hoosiers” in the new federal government style guide. The current term “Indianan” will no longer be printed in materials for Congress, the White House, and other federal agencies.","video","https://www.facebook.com/senatordonnelly/videos/1394969057202645/",NA,516,366,280,38,36,3,2,21
"senatordonnelly","168059529893610_1395499757149575","Senator Joe Donnelly","2017-01-13","2017-01-13 00:55:01","We mourn the loss of South Bend’s Barbara Vance Brandy. A role model in the civil rights movement, she helped establish Indiana University South Bend's Civil Rights Heritage Center, and will be remembered for making Indiana and our country more equal and just. My prayers are with her family at this time. – Joe http://bit.ly/2jotHKd","link","http://bit.ly/2jotHKd","bit.ly",53,23,4,3,0,0,34,0
"senatordonnelly","168059529893610_1396193637080187","Senator Joe Donnelly","2017-01-13","2017-01-13 18:01:41","In Indy today, Joe discussed new legislation that he is introducing to help fight against the outsourcing of Hoosier and American jobs. He was joined by workers from Carrier, Rexnord and UTEC who spoke about the devastating effects outsourcing will have on them and their families. This is the latest effort in his years-long fight to prevent the outsourcing of jobs.","photo","https://www.facebook.com/senatordonnelly/photos/a.178754685490761.42813.168059529893610/1396193637080187/?type=3",NA,77,70,9,6,1,0,0,3
