"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatorhirono","656523967813557_1000171803448770","Senator Mazie K. Hirono","2017-03-07","2017-03-07 20:16:59","Disappointed that both nominees for Deputy & Associate Attorney General refused to commit to protecting transgender students under Title IX. The only appropriate answer to this question is yes.","video","https://www.facebook.com/senatorhirono/videos/1000171803448770/",NA,88,27,13,1,0,1,18,17
"senatorhirono","656523967813557_1000339900098627","Senator Mazie K. Hirono","2017-03-08","2017-03-08 02:58:40","Companies use mandatory arbitration to limit consumers' ability to seek recourse on problems with common products like my Fitbit to investments like a college education. Today, I joined a number of my colleagues to introduce several bills to tell companies that they can't force customers into mandatory arbitration.","video","https://www.facebook.com/senatorhirono/videos/1000339900098627/",NA,71,8,11,5,0,0,0,0
"senatorhirono","656523967813557_1000981243367826","Senator Mazie K. Hirono","2017-03-08","2017-03-08 23:30:53","The past two months have shown that battles don't stay won. But we will keep fighting. #DayWithoutWomen #InternationalWomensDay","photo","https://www.facebook.com/senatorhirono/photos/a.666505916815362.1073741834.656523967813557/1000981243367826/?type=3",NA,101,7,1,21,0,0,0,0
"senatorhirono","656523967813557_1001462826653001","Senator Mazie K. Hirono","2017-03-09","2017-03-09 16:01:01","Instead of debating how best to expand access, Republicans are fighting with each other to see just how many people they can kick off insurance rolls – all in a crusade to save money. #Trumpcare is not a crusade to improve the lives of as many Americans as possible. It is a crusade to service their radical, anti-government ideology.","video","https://www.facebook.com/senatorhirono/videos/1001462826653001/",NA,89,65,27,3,0,1,12,14
"senatorhirono","656523967813557_1004777716321512","Senator Mazie K. Hirono","2017-03-13","2017-03-13 20:25:11","No matter what distractions the President throws out into the universe, we must stay focused on fighting the GOP's destructive agenda.","video","https://www.facebook.com/senatorhirono/videos/1004777716321512/",NA,134,28,23,10,0,1,0,0
"senatorhirono","656523967813557_1005331819599435","Senator Mazie K. Hirono","2017-03-14","2017-03-14 19:51:36","In the wake of reports of Marines sharing explicit photos of their female comrades, I pressed Commandant of the Marine Corps General Robert Neller for a commitment to address sexual assault and the mistreatment of women in the Armed Forces.","video","https://www.facebook.com/senatorhirono/videos/1005331819599435/",NA,111,12,11,11,0,0,3,1
"senatorhirono","656523967813557_1006059686193315","Senator Mazie K. Hirono","2017-03-16","2017-03-16 01:40:07","Judge Watson's ruling is yet another blow to the President's unconstitutional Muslim Ban. President Trump during the campaign made clear his intention to impose a Muslim ban. He has done so and no amount of spinning can obfuscate his intent. Every time our country has targeted a minority group for discriminatory treatment, we have been very wrong, and this Administration's actions are no different. In finding this Executive Order to be unconstitutional, Judge Watson exemplifies the importance of an independent judiciary.","status",NA,NA,190,33,11,29,0,0,1,4
"senatorhirono","656523967813557_1008826349249982","Senator Mazie K. Hirono","2017-03-20","2017-03-20 15:49:03","This week, I'm in #SCOTUS hearings, holding the President's nominee accountable. Watch live:","video","https://www.facebook.com/USSenateDemocrats/videos/1266614296741095/",NA,28,10,0,5,0,0,0,0
"senatorhirono","656523967813557_1008890132576937","Senator Mazie K. Hirono","2017-03-20","2017-03-20 18:13:24","The #SCOTUS hearing is about more than considering a nominee for the Supreme Court. It's about the future of our country. Watch my opening statement live:","video","https://www.facebook.com/senatorhirono/videos/1008890132576937/",NA,75,37,28,19,0,1,0,3
"senatorhirono","656523967813557_1009024775896806","Senator Mazie K. Hirono","2017-03-20","2017-03-20 23:20:56",NA,"video","https://www.facebook.com/USSenateDemocrats/videos/1267034160032442/",NA,76,11,0,8,0,0,0,0
