"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatorjeffflake","154010926645_10154062386896646","Senator Jeff Flake","2017-01-03","2017-01-03 19:54:57","Speaking as an Arizonan and as a middle child, hand-me-downs don't get better than my new #Senate desk #Goldwater #Fannin   http://www.senate.gov/artandhistory/art/special/Desks/hdetail.cfm?id=2","photo","https://www.facebook.com/senatorjeffflake/photos/a.10150634250026646.382835.154010926645/10154062386896646/?type=3",NA,181,28,2,12,0,0,0,0
"senatorjeffflake","154010926645_10154062467966646","Senator Jeff Flake","2017-01-03","2017-01-03 20:53:22","Good meeting with #RexTillerson this afternoon. Appreciate his willingness to serve as Secretary of State. Looking forward to Senate Foreign Relations Committee hearings next week.","video","https://www.facebook.com/senatorjeffflake/videos/10154062467966646/",NA,88,83,10,1,0,0,5,50
"senatorjeffflake","154010926645_10154064595561646","Senator Jeff Flake","2017-01-04","2017-01-04 15:56:01","Great meeting with Scott Pruitt. He's the right choice to lead U.S. Environmental Protection Agency as we work to rein in #ozone, #wotus, #hardrockmining & other overreaching regulations harmful to #Arizona","video","https://www.facebook.com/senatorjeffflake/videos/10154064595561646/",NA,65,83,11,2,1,0,7,48
"senatorjeffflake","154010926645_10154064846076646","Senator Jeff Flake","2017-01-04","2017-01-04 17:47:12","Good discussion with Treasury Secretary nominee Steven Mnuchin today on how we can work together to help #Arizona businesses by addressing the agency's application of #BorderBanking regulations","video","https://www.facebook.com/senatorjeffflake/videos/10154064846076646/",NA,43,28,5,0,1,0,0,13
"senatorjeffflake","154010926645_10154065108641646","Senator Jeff Flake","2017-01-04","2017-01-04 20:41:35","Looking forward to working with Rick Perry to combat waste, fraud, and abuse at the Western Area Power Administration that may be driving up electric bills in #Arizona","video","https://www.facebook.com/senatorjeffflake/videos/10154065108641646/",NA,98,45,5,0,7,0,1,19
"senatorjeffflake","154010926645_10154067022326646","Senator Jeff Flake","2017-01-05","2017-01-05 17:03:24","Earlier this month, individuals across the country were once again faced with fewer choices and increased costs when purchasing health insurance coverage. Unfortunately, this has been a common occurrence since the Affordable Care Act’s inception, and no state is feeling the pinch more than Arizona.  Prior to the flawed roll-out of the exchanges in 2013, Arizona had 24 health insurance companies offering plans in the individual market. But just last year, residents in Arizona’s most populous county, Maricopa, had only eight private insurers to choose from on the exchange.  As if that wasn’t bad enough, a few months ago, individuals all across Arizona received notifications that their insurance plans were no longer being offered, despite the current administration’s hollow assurances that they could keep their plans. Newly-stripped of their preferred health insurance, residents in 14 of Arizona’s 15 counties logged onto the Obamacare exchanges to shop for new plans, only to discover that instead of a vibrant marketplace of quality policies, they were left with only one insurer to choose from.  In fact, Pinal County in Arizona briefly held the unfortunate distinction as the only county in America without a single insurer willing to offer plans on its exchange. Not a single one.  Of the few plans that were ultimately made available to hardworking Arizonans on the exchange, the average policy came with a premium hike of nearly 50 percent. And with only one game in town, there was no shopping around for a better deal.  To help put this all in perspective, I’d like to compare the average cost of health insurance in Arizona to one of the most important purchases a family will ever make: owning a home. That’s right. Throughout most counties in Arizona, it’s now cheaper to put a roof over your family’s head than it is to pay your monthly health insurance premium under Obamacare.  In Maricopa County, which includes Phoenix, homeowners can expect to pay nearly $500 more per month on their health insurance than on their house.  In Pima County, home to Tucson, health insurance premiums run the average family $100 more a month than their mortgage.  And then there’s Pinal County, the third-largest in Arizona. According to the Arizona Department of Insurance, the average premium for a silver plan in Pinal County for a family of four is over $1,700. This is double the median monthly mortgage payment in the very same county.  Sadly, this situation isn’t unique to these, the three most populous counties in Arizona. In all fifteen of the state’s counties, premiums for a family of four dramatically exceed the median monthly mortgage.  It is unacceptable for the federal government to force families to expend upwards of $1,700 per month of their hard-earned income on a sub-standard product, without options or choice, only to then slap them with a draconian penalty when they can’t afford to comply with an untenable law. Arizona is ground zero for the structural failures that are plaguing insurance markets around the country. Insurance exchanges are on the verge of collapsing, premiums, deductibles, and out of pocket costs are skyrocketing, and our health care system is in desperate need of reform.  That is why I stand here today to introduce the Health Savings Account Expansion Act. The Health Savings Account Expansion Act goes a long way toward reforming our health care system by putting consumers back in charge of their own health care.  The bill provides individuals and families with the freedom to choose the health care that best meets their needs, and allows them to use their Health Savings Accounts on the medical products and services they value the most.  HSAs give consumers greater control over their health care dollars by providing them with a tax-advantaged savings option for their medical expenses. This means that the dollars they work so hard to save can grow over time, tax free, and be withdrawn, tax free, for qualified medical expenses.  The HSA Expansion Act strengthens this important tool by nearly tripling the arbitrarily low contribution limits, thus allowing for greater tax equity and more universal participation in HSAs.   The bill would then allow individuals to use these expanded HSAs to help cover the costs of their monthly health insurance premiums. This is a critically important feature, particularly for middle-class families whose income falls slightly above the qualified threshold for subsidies, but whose health insurance has become unaffordable.  In addition to further incentivizing prudent saving for health expenses, this legislation also repeals restrictions put in place by Obamacare on over-the-counter medications, while also reducing the penalty for withdrawing HSA funds for non-qualified purchases. These reforms will help streamline HSAs while also making them more user-friendly for consumers.  Arizonans are struggling. They’re struggling under the weight of a bureaucracy that is complicating their health care decisions, which are some of the most personal and important decisions that individuals make for themselves and their families.  If we hope to lift that burden off the backs of our constituents, we must recognize that the key to reforming our health care system is not more government intervention. Rather, it’s about allowing individuals the freedom to take back control of their own health care and incentivizing prudent decision making.  As the Senate looks to repeal this disastrous law and replace it with real reforms that will successfully lower health care costs and improve choice, I look forward to working with my colleagues to ensure that this legislation is included in those negotiations.","video","https://www.facebook.com/senatorjeffflake/videos/10154067022326646/",NA,92,189,44,0,2,1,6,35
"senatorjeffflake","154010926645_10154067611071646","Senator Jeff Flake","2017-01-05","2017-01-05 22:13:06","Talk about fish-cally irresponsible. If you’ve got a better pun let minnow #Wastebook #FishOnATreadmill","video","https://www.facebook.com/senatorjeffflake/videos/10154067611071646/",NA,30,30,14,0,6,0,0,6
"senatorjeffflake","154010926645_10154077402116646","Senator Jeff Flake","2017-01-10","2017-01-10 00:41:24","Thank you, Governor Doug Ducey for your continued partnership in the effort to break up the 9th Circuit. Together we can secure a better judiciary for Arizona.","video","https://www.facebook.com/senatorjeffflake/videos/10154077402116646/",NA,89,22,9,1,1,0,0,10
"senatorjeffflake","154010926645_10154078523066646","Senator Jeff Flake","2017-01-10","2017-01-10 14:25:22","Excited to unveil my latest edition of Wastebook and discuss earmarks this morning at The Heritage Foundation starting at 8 a.m. MST/ 10 a.m. EST.  Wastebook: PORKémon Go details some of the outrageous ways Washington is wasting taxpayer money including a program that accepts peanuts for loan repayments, a computer that binge-watches Desperate Housewives, and a study into what happens when you put a fish on a treadmill.   Watch the livestream here- http://www.heritage.org/events/2017/01/wastebook","link","http://www.heritage.org/events/2017/01/wastebook","heritage.org",49,26,18,0,0,1,0,1
"senatorjeffflake","154010926645_10154078779151646","Senator Jeff Flake","2017-01-10","2017-01-10 16:10:25","To address our nearly $20 trillion national debt, Congress needs to focus on eliminating unnecessary spending rather than making wish lists that add to the red ink. You can’t drain the swamp by feeding pork to the alligators.","link","http://dailysignal.com/2017/01/09/why-this-senator-wants-to-extend-the-ban-on-earmarks/","dailysignal.com",186,55,21,10,0,0,0,3
