"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatorlamaralexander","89927603836_10154177918178837","Senator Lamar Alexander","2017-01-03","2017-01-03 23:34:04","Great to see Rep. David Kustoff on the day he's sworn in as a new Member of Congress. Looking forward to working together for the people of West Tennessee!","photo","https://www.facebook.com/senatorlamaralexander/photos/a.487153598836.260231.89927603836/10154177918178837/?type=3",NA,167,32,7,7,2,1,0,0
"senatorlamaralexander","89927603836_10154180533283837","Senator Lamar Alexander","2017-01-04","2017-01-04 23:48:38","In the Lebanon Democrat today -- Senator Alexander writes about how the new 21st Century Cures law will help Tennesseans: “This $6.3 billion bipartisan law will help us find cures for cancer, fight opioid addiction, treat mental illness and better understand the brain to prevent diseases like Alzheimer’s. It will help take advantage of this remarkable time in biomedical innovation, spur treatments and cures from cancer to rare pediatric diseases, and help move those treatments and cures more efficiently into medicine cabinets and doctors’ offices, while maintaining our gold standard of safety.” http://www.lebanondemocrat.com/Column/2017/01/03/Lamar-Alexander-Why-21st-Century-Cures-was-a-Christmas-miracle.html","photo","https://www.facebook.com/senatorlamaralexander/photos/a.487153598836.260231.89927603836/10154180533283837/?type=3",NA,26,20,5,0,1,0,0,0
"senatorlamaralexander","89927603836_10154181780963837","Senator Lamar Alexander","2017-01-05","2017-01-05 15:27:00","Senator Alexander met with EPA nominee Oklahoma Attorney General Scott Pruitt yesterday and said, “I had a good and productive meeting with Scott Pruitt. I talked with him about the importance of clean air to Tennesseans' jobs, health and tourism and how much progress each one of our metropolitan areas has made over the last few years toward that goal. I also reiterated my strong opposition to federal and state policies that fail to put nuclear power on a level playing field, especially since it produces 60 percent of our carbon-free electricity. One such policy is the Obama administration’s so-called Clean Power Plan, and another is the wasteful multi-billion dollar federal subsidy for wind turbines.""","photo","https://www.facebook.com/senatorlamaralexander/photos/a.487153598836.260231.89927603836/10154181780963837/?type=3",NA,34,45,3,1,0,0,0,9
"senatorlamaralexander","89927603836_10154184619598837","Senator Lamar Alexander","2017-01-06","2017-01-06 18:01:00","Senator Alexander yesterday met with Energy Secretary nominee Rick Perry in Alexander’s D.C. office and showed him the walking stick that Sam Houston left in Nashville in 1845 after traveling from Texas to Tennessee and leading Andrew Jackson’s funeral cortege.","photo","https://www.facebook.com/senatorlamaralexander/photos/a.487153598836.260231.89927603836/10154184619598837/?type=3",NA,97,37,12,4,0,1,3,15
"senatorlamaralexander","89927603836_10154187278728837","Senator Lamar Alexander","2017-01-07","2017-01-07 17:50:47","Two years ago, the most explosive issue in Tennessee schools and elections was the federal mandate requiring common core academic standards.    Senator Lamar Alexander – as chairman of the Senate education committee - sponsored legislation that the president signed into law in December of 2015 to repeal common core and other federal mandates, reverse the trend toward a national school board and restore local control. The Wall Street Journal called it the “the largest devolution of federal control to the states in a quarter-century.”   Last year, at the National Governors Association’s (NGA) February meeting, Alexander, a former chairman of the governors’ organization, thanked the nations’ governors for “leading the charge” to fix No Child Left Behind. At that same meeting, the nations’ governors created the James Madison Award to recognize members of Congress who support federalism and the 10th Amendment of the U.S. Constitution guaranteeing states’ rights. The governors named Sen. Alexander as the first-ever recipient of the award for his work to fix No Child Left Behind.   Now that Washington is not calling the shots, this story – one of four Gannett Tennessee stories on the Every Student Succeeds Act - is about what Tennessee schools are doing with their new authority under Sen. Alexander's law: http://www.tennessean.com/story/news/education/2017/01/06/minority-student-achievement-play-bigger-role-school-accountability/95430348/","link","http://www.tennessean.com/story/news/education/2017/01/06/minority-student-achievement-play-bigger-role-school-accountability/95430348/","tennessean.com",28,24,3,0,0,0,0,3
"senatorlamaralexander","89927603836_10154192297283837","Senator Lamar Alexander","2017-01-09","2017-01-09 19:14:00","Nashvillian Doug Oliver on Thursday presented Sen. Alexander with the cane Doug used when he was blind, before his sight was restored through stem cells taken from his own hip. Doug contacted Alexander last year to share his story of success with regenerative medicine and came to Washington last June to express his support for including regenerative medicine as part of 21st Century Cures. That Cures legislation was signed into law by President Obama last month.","photo","https://www.facebook.com/senatorlamaralexander/photos/a.487153598836.260231.89927603836/10154192297283837/?type=3",NA,41,11,4,3,0,0,0,1
"senatorlamaralexander","89927603836_10154192535293837","Senator Lamar Alexander","2017-01-09","2017-01-09 21:58:00","BREAKING: Tennessee members of 115th Congress introduce bill to name the new Nashville federal courthouse in honor of U.S. Sen. Fred Thompson. Read Senator Alexander’s and the rest of the delegation’s statements here: http://www.alexander.senate.gov/public//index.cfm?p=PressReleases&id=5947252B-9611-48B8-BE34-6F58DFBC8E96","photo","https://www.facebook.com/senatorlamaralexander/photos/a.487153598836.260231.89927603836/10154192535293837/?type=3",NA,37,12,3,4,0,0,0,2
"senatorlamaralexander","89927603836_10154192706133837","Senator Lamar Alexander","2017-01-09","2017-01-09 22:13:22","Nashvillian Doug Oliver on Thursday presented Sen. Alexander with the cane Doug used when he was blind, before his sight was restored through stem cells taken from his own hip. Doug contacted Alexander last year to share his story of success with regenerative medicine and came to Washington last June to express his support for including regenerative medicine as part of 21st Century Cures. That Cures legislation was signed into law by President Obama last month.","photo","https://www.facebook.com/senatorlamaralexander/photos/a.487153598836.260231.89927603836/10154192706133837/?type=3",NA,35,21,7,4,0,0,0,0
"senatorlamaralexander","89927603836_10154194786998837","Senator Lamar Alexander","2017-01-10","2017-01-10 19:15:00","Congratulations to Peyton Manning on being elected to the College Football Hall of Fame! #VFL","link","http://www.tennessean.com/story/sports/college/university-of-tennessee/football/2017/01/09/peyton-manning-elected-college-football-hall-fame/96337096/","tennessean.com",85,12,10,6,0,0,0,1
"senatorlamaralexander","89927603836_10154196928808837","Senator Lamar Alexander","2017-01-11","2017-01-11 16:17:01","Gatlinburg is open for business! Great to see that ""holiday traffic was just as lively as usual"" downtown this year.","link","http://www.knoxnews.com/story/money/business/2017/01/04/gatlinburg-businesses-rebound-over-holidays/96122854/","knoxnews.com",51,13,4,0,0,0,0,2
