"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatormccaskill","131498087618_10155840092272619","Senator Claire McCaskill","2017-01-05","2017-01-05 22:32:18","Today, Claire joined Chairman of the Senate Armed Services Committee, Republican Senator John McCain, to question the nation’s top intelligence officers about Russian cyber attacks on the United States. She defended America’s intelligence community from disparaging attacks, and highlighted the incredible risks our intelligence agents take every day to protect their country.  James Clapper—the U.S. Director of National Intelligence—agreed, saying “you only need to walk into the lobby at the CIA and look at the stars on the wall, or the front lobby at NSA” to see the sacrifice our intelligence community makes.","video","https://www.facebook.com/senatormccaskill/videos/10155840092272619/",NA,1134,259,287,132,7,5,14,6
"senatormccaskill","131498087618_10155858779612619","Senator Claire McCaskill","2017-01-11","2017-01-11 23:43:33","Yesterday, Claire and Republican Senator Rob Portman grilled Backpage executives in a bipartisan Senate hearing, after releasing a chilling report on Backpage’s knowing facilitation of child sex trafficking.  “[Backpage] did not turn away ads selling children,” said Claire, a former sex crimes prosecutor. “We now know as a result of our legal battle, based on their own documents, they did not turn away ads selling children. They just tried to make it less obvious. And worse, coached the traffickers and the pimps on how to clean up their ads. Not turning away their business. Those children were still sold. They just tried to sanitize it. That, ladies and gentleman, is the definition of evil. Simply evil.”  READ THE REPORT: www.mccaskill.senate.gov/backpage","video","https://www.facebook.com/senatormccaskill/videos/10155858779612619/",NA,228,60,80,5,0,8,41,71
"senatormccaskill","131498087618_10155876210787619","Senator Claire McCaskill","2017-01-16","2017-01-16 15:45:07","A message from Claire in recognition of Martin Luther King, Jr. Day:  “Dr. King famously said that ‘the arc of the moral universe is long, but it bends toward justice,’ and in these divisive times it’s more important than ever that we hold tight to his vision for this country. We’ve got more work to do to live out the dream he sought—in our criminal justice system, in our schools, and in our struggling neighborhoods, and I join with all Missourians in honoring Dr. King’s legacy and the values of equality and justice he championed.”","video","https://www.facebook.com/senatormccaskill/videos/10155876210787619/",NA,922,89,266,146,1,0,13,0
"senatormccaskill","131498087618_10155886878552619","Senator Claire McCaskill","2017-01-19","2017-01-19 19:38:14","Today Claire questioned President-elect Trump’s Secretary of the Treasury nominee on whether he would commit to investigating and reporting what percentage of the Trump business’s debt is held by foreign nations and companies.  “I can assure you, the American people need to know how much debt is owed by the Trump businesses to foreign entities, as that could have a direct impact on our national security,” said Claire, who serves as the top Democrat on the Homeland Security committee.","video","https://www.facebook.com/senatormccaskill/videos/10155886878552619/",NA,1108,301,263,131,17,13,2,32
"senatormccaskill","131498087618_10155887026952619","Senator Claire McCaskill","2017-01-19","2017-01-19 20:39:47","More than 20 million Americans are relying on Republicans to do the right thing.  We cannot repeal the Affordable Care Act without a responsible replacement ready to go. Too many lives hang in the balance. #ChaosIsComing","video","https://www.facebook.com/senatormccaskill/videos/10155887026952619/",NA,931,293,223,20,6,6,100,129
"senatormccaskill","131498087618_10155901114517619","Senator Claire McCaskill","2017-01-23","2017-01-23 19:18:47","As the top Democrat on the Senate Homeland Security and Governmental Affairs Committee – Democrats, Claire voted on Friday to confirm President Donald J. Trump's nominees for the Department of Homeland Security and U.S. Department of Defense (DoD).   “Party labels shouldn’t get in the way of good public service,” said Claire, who also serves as senior member of the United States Senate Committee on Armed Services.  “I’ve worked with General Mattis and General Kelly, and both have distinguished careers on the front lines of our national defense, guarding the freedoms that Americans enjoy every single day. I’m confident both will serve our country honorably, and I encourage President Trump to rely on their experience and wisdom in continuing to keep our homeland safe.”","photo","https://www.facebook.com/senatormccaskill/photos/a.408434447618.202026.131498087618/10155901114517619/?type=3",NA,531,352,49,25,1,2,6,56
"senatormccaskill","131498087618_10155933308507619","Senator Claire McCaskill","2017-01-31","2017-01-31 23:14:11","How can the United States Senate Committee on Finance do its job of vetting and approving Steve Mnuchin, President Trump’s nominee for U.S. Department of the Treasury, without complete information?  That’s the question Claire and Ohio Senator Sherrod Brown asked, along with other members of the Committee, before refusing to participate in today’s mark-up hearing.  Mnuchin misled the Committee about his company’s foreclosure practice of “robo-signing” mortgage documents, and has failed to provide state-level foreclosure data about his company to Democratic members of the Committee, despite making this information available to Republican members.","link","http://www.cincinnati.com/story/news/politics/blogs/2017/01/31/sen-brown-blocks-committee-vote-trumps-treasury-nominee/97281632/","cincinnati.com",1320,479,174,164,6,15,5,119
"senatormccaskill","131498087618_10155955488987619","Senator Claire McCaskill","2017-02-07","2017-02-07 22:12:33","Betsy DeVos is the wrong choice for Missouri, and anyone who voted for her today gave our rural communities the back of their hand.  Claire stood up for small towns across Missouri today by voting NO on Ms. DeVos, and she’s going to fight tooth and nail to protect Missouri’s schools. But don’t take our word for it—hear it straight from Claire:","link","https://medium.com/senator-claire-mccaskill/our-rural-communities-deserve-better-than-betsy-devos-27545adef474#.kpafjq6ko","medium.com",4090,634,506,287,11,10,353,95
"senatormccaskill","131498087618_10155955745167619","Senator Claire McCaskill","2017-02-07","2017-02-07 23:08:03","Last night, Claire met with survivors, families, and advocates at a panel discussion for the new Backpage documentary, I am Jane Doe Film.  “I Am Jane Doe” traces the legal battle to hold Backpage accountable for its role in child sex trafficking from courtrooms in St. Louis, Seattle, and Boston—all the way to Claire’s hearing room in the United States Senate. Just last month, Claire released a shocking bipartisan report with Ohio Senator Rob Portman, detailing the ways in which Backpage facilitated the sale of children on the internet.","video","https://vimeo.com/196017327",NA,226,56,64,10,0,3,61,10
"senatormccaskill","131498087618_10155959219942619","Senator Claire McCaskill","2017-02-08","2017-02-08 23:23:01","Last April, Claire met with President Barack Obama's nominee for the Supreme Court, Chief Judge Merrick Garland, after strongly urging her Republican colleagues to do their job and consider the President’s nominee. Today, in that same spirit, she met with President Donald J. Trump's nominee, Judge Neil Gorsuch.  As a former Jackson County prosecutor, Claire sat down with Judge Gorsuch to hear from him on his record and views. “I was glad for the opportunity to sit down with Judge Gorsuch,” said Claire. “I’m looking forward to seeing his confirmation hearing.”","photo","https://www.facebook.com/senatormccaskill/photos/a.408434447618.202026.131498087618/10155959213112619/?type=3",NA,523,251,35,29,1,6,3,42
