"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatororrinhatch","428762107243540_10155703297994360","Senator Orrin Hatch","2017-10-17","2017-10-17 22:51:36","Don't believe what you hear, our tax reform efforts are about helping working families all around Utah.","video","https://www.facebook.com/senatororrinhatch/videos/10155703297994360/",NA,300,556,49,17,151,8,6,233
"senatororrinhatch","428762107243540_1172129506240126","Senator Orrin Hatch","2017-01-03","2017-01-03 19:08:32","2016 in Review: Senator Hatch had the opportunity to speak at his good friend Muhammad Ali's funeral in June.","video","https://www.facebook.com/senatororrinhatch/videos/1172129506240126/",NA,18,1,4,0,1,0,0,0
"senatororrinhatch","428762107243540_1172225629563847","Senator Orrin Hatch","2017-01-03","2017-01-03 21:54:00","Honored to start another term today as President Pro Tempore of the United States Senate. With Republicans in control of both Congress and the White House, conservatives have a unique opportunity to prove that we can govern and effect meaningful change for the American people. #utpol","photo","https://www.facebook.com/senatororrinhatch/photos/a.509679322485151.1073741828.428762107243540/1172225629563847/?type=3",NA,153,70,11,12,0,1,0,5
"senatororrinhatch","428762107243540_1172274622892281","Senator Orrin Hatch","2017-01-03","2017-01-03 23:50:23","Sachin Pavithran, a disability rights advocate and a disability policy analyst at Utah State University, wrote in the Salt Lake Tribune today about Senator Hatch's long-term effort to serve as a voice for Americans with disabilities.","link","http://www.sltrib.com/opinion/4736523-155/op-ed-hatch-has-trumps-ear-will","sltrib.com",44,6,8,2,1,0,0,0
"senatororrinhatch","428762107243540_1172808936172183","Senator Orrin Hatch","2017-01-04","2017-01-04 16:39:06","Congrats to my good friend @governorherbert on his inauguration today. Under the leadership of America's best governor things are only going to continue to get better for Utahns. #utpol","photo","https://www.facebook.com/senatororrinhatch/photos/a.509679322485151.1073741828.428762107243540/1172808936172183/?type=3",NA,53,10,0,1,0,0,0,0
"senatororrinhatch","428762107243540_1173043532815390","Senator Orrin Hatch","2017-01-05","2017-01-05 00:10:03","Happy Birthday Utah! 121 years of people working together!","video","https://www.facebook.com/senatororrinhatch/videos/1173043532815390/",NA,92,18,22,8,0,0,0,0
"senatororrinhatch","428762107243540_1173769026076174","Senator Orrin Hatch","2017-01-05","2017-01-05 21:02:13","Senator Hatch delivered his first speech of the 115th Congress today, addressing Obamacare. Hatch is the Chairman of the Senate Finance Committee, which will be leading efforts to repeal President Obama’s healthcare law, replacing it with a patient-centered system that gives Americans access to high-quality, affordable care.   In the speech, Hatch outlined how his Finance Committee will lead efforts to repeal the healthcare law quickly to limit the damage it continues to cause, ensure a responsible and secure transition that prevents coverage loss, and create a pathway to a better system of healthcare.","video","https://www.facebook.com/senatororrinhatch/videos/1173769026076174/",NA,84,116,45,5,1,0,2,36
"senatororrinhatch","428762107243540_1173949699391440","Senator Orrin Hatch","2017-01-06","2017-01-06 01:48:22","They say a Senator is only as good as his staff. Fortunately for me, I have the best staff on Capitol Hill. I have been particularly blessed by Ruthie Montoya, who has been my scheduler, confidante, and trusted friend for the greater part of my Senate service. Today marks 30 years since Ruthie first came to work in my office. She has worked harder than anyone I know, and deserves to be recognized for her service to the people of Utah. Thanks for everything, Ruthie; I wouldn't have made it without you.","photo","https://www.facebook.com/senatororrinhatch/photos/a.509679322485151.1073741828.428762107243540/1173949699391440/?type=3",NA,220,39,4,23,1,0,0,0
"senatororrinhatch","428762107243540_1174370152682728","Senator Orrin Hatch","2017-01-06","2017-01-06 14:10:21","Please stay safe this weekend, Utahns!   Big thanks to the Utah Department of Transportation and others for helping get people home safely during the hazardous weather this week!","link","http://www.ksl.com/?nid=88&city=Logan","ksl.com",26,9,3,2,0,0,0,0
"senatororrinhatch","428762107243540_1175601515892925","Senator Orrin Hatch","2017-01-08","2017-01-08 01:11:41","It was an honor to attend the memorial service for my good friend LaVell Edwards today. While he'll always be remembered as a legendary football coach, it was great to hear him honored for being so much more. His grandson Geoff, pictured here, gave a very touching tribute, saying, ""He cared about football, sure. But he cared about his faith, his family, and people more.""","photo","https://www.facebook.com/senatororrinhatch/photos/a.509679322485151.1073741828.428762107243540/1175601515892925/?type=3",NA,88,6,2,4,0,0,1,0
