"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatortomudall","106433512869_10154713086147870","Senator Tom Udall","2017-01-01","2017-01-01 16:08:28","Happy new year, New Mexico! I hope the coming year brings health and happiness to you and your family.","status",NA,NA,258,28,1,18,1,0,0,0
"senatortomudall","106433512869_10154722499697870","Senator Tom Udall","2017-01-04","2017-01-04 21:45:48","The Republican effort to repeal the Affordable Care Act and #MakeAmericaSickAgain is reckless and would have devastating consequences for people’s health and New Mexico’s economy. 178,000 New Mexicans stand to lose access to health care if the GOP goes through with their plan. We can’t afford to go back to the days when tens of thousands of New Mexican families couldn’t get health care.   http://www.cnn.com/2017/01/03/politics/senate-obamacare-resolution/","link","http://www.cnn.com/2017/01/03/politics/senate-obamacare-resolution/","cnn.com",121,56,35,5,1,3,6,84
"senatortomudall","106433512869_10154724898557870","Senator Tom Udall","2017-01-05","2017-01-05 19:38:00","Pam and Mike are a husband and wife from Placitas who own a small business. After signing up for an insurance plan under the Affordable Care Act (ACA), they were able to afford preventive care that led doctors to diagnose Mike with an aggressive form of cancer. Luckily, thanks to their new preventive care, the doctors caught the cancer at an early, treatable stage. After receiving treatment at the UNM Cancer Center, Mike is now cured. Pam says there is “no question” that the ACA saved her husband’s life.    Stories from families like this one are why it is so critical that we #KeepNMCovered. The Republican plan to repeal the Affordable Care Act will endanger New Mexicans’ lives, and I will fight it every step of the way.","photo","https://www.facebook.com/senatortomudall/photos/a.10150115125862870.291254.106433512869/10154724898557870/?type=3",NA,369,42,38,54,0,4,2,1
"senatortomudall","106433512869_10154725608592870","Senator Tom Udall","2017-01-06","2017-01-06 00:31:48","Rex Tillerson should release his tax returns before his confirmation hearing next Wednesday.  http://www.politico.com/story/2017/01/rex-tillerson-taxes-233251","link","http://www.politico.com/story/2017/01/rex-tillerson-taxes-233251","politico.com",131,33,12,3,1,0,1,3
"senatortomudall","106433512869_10154727601552870","Senator Tom Udall","2017-01-06","2017-01-06 17:59:25","On January 6, 1912, New Mexico was admitted as the 47th state to our Union. For more than a century, New Mexico has been integral in shaping America as we know it today—from our unique culture and heritage, to our outstanding national labs and military bases, our thriving creative economy, and our brave service members. I’ll keep working to ensure the Land of Enchantment remains a special place for generations to come. Happy 105th birthday, New Mexico!  (Photo courtesy John Fowler)","photo","https://www.facebook.com/senatortomudall/photos/a.10150115125862870.291254.106433512869/10154727601552870/?type=3",NA,319,18,114,39,0,7,0,0
"senatortomudall","106433512869_10154736461207870","Senator Tom Udall","2017-01-09","2017-01-09 21:42:27","“Save my daughter.” That’s the heartbreaking plea I recently received from Kevin, an Albuquerque dad who is worried about what will happen to his daughter Amber if President-elect Trump and congressional Republicans succeed in repealing the Affordable Care Act (ACA).  Amber is a 33 year-old with Multiple Sclerosis. She follows a rigorous regimen to manage her illness, including $60,000 in drugs per year as well as regular visits to her neurologist and annual MRIs. But thanks to the ACA, Amber is able to lead a normal life without worrying about going bankrupt in order to access life-saving medical care.   861,000 New Mexicans and 134 million Americans have pre-existing conditions that, before the ACA, would’ve made them “uninsurable.” If President-elect Trump and Republicans in Congress get their way, folks like Amber will be at risk of losing the coverage they need to survive.   Tonight, I’ll be sharing the stories of Amber and other New Mexicans as I join my fellow Democrats in the Senate to urge President-elect Trump and the new Republican Congress to put their constituents ahead of politics and work with Democrats to improve the ACA—not repeal it.  Health care is a basic human right, and providing adequate medical care for everyone in America should be our guiding principle. We must #KeepNMCovered.","photo","https://www.facebook.com/senatortomudall/photos/a.10150115125862870.291254.106433512869/10154736461207870/?type=3",NA,204,35,44,26,0,0,21,3
"senatortomudall","106433512869_10154737147822870","Senator Tom Udall","2017-01-10","2017-01-10 02:44:39","Tonight, I went to the Senate floor to share stories from New Mexicans who rely on the historic protections of the Affordable Care Act, and who stand to lose health and economic security under President-elect Donald Trump and Washington Republicans’ efforts to repeal health care reform without any plan to replace it. Watch my speech:","video","https://www.facebook.com/senatortomudall/videos/10154737147822870/",NA,590,132,125,78,4,3,1,6
"senatortomudall","106433512869_10154739709522870","Senator Tom Udall","2017-01-11","2017-01-11 00:54:18","Read my latest newsletter to my constituents about what we’ve accomplished together and the fight ahead in 2017.   http://www.tomudall.senate.gov/?p=blog&id=2505","link","http://www.tomudall.senate.gov/?p=blog&id=2505","tomudall.senate.gov",72,12,2,6,0,0,0,0
"senatortomudall","106433512869_10154742619992870","Senator Tom Udall","2017-01-11","2017-01-11 23:57:03","Today I questioned former ExxonMobil CEO and President-elect Trump’s nominee for Secretary of State Rex Tillerson about his position on climate change and his potential conflicts of interest with his former company. Over the course of the day-long confirmation hearing, I pressed him on a number of topics, including whether Americans can trust that he will put the nation’s interests ahead of Exxon’s and whether he believes that climate change is real. I will take Tillerson’s responses into consideration as I prepare to cast a vote on whether to confirm him as America’s top diplomat in the Trump administration.   Watch all of my questions for Tillerson: https://www.youtube.com/watch?v=CidK1jgfr00&feature=youtu.be","video","https://www.youtube.com/watch?v=CidK1jgfr00&feature=youtu.be",NA,280,190,39,8,1,3,2,22
"senatortomudall","106433512869_10154746022122870","Senator Tom Udall","2017-01-12","2017-01-12 17:03:04","Late last night, congressional Republicans voted to take health care away from millions of Americans with no plan to keep health care accessible and affordable. I joined Senate Democrats in protest and voted to #SaveACA and protect the hundreds of thousands of New Mexicans who rely on the Affordable Care Act to stay healthy and, in some cases, to get life-saving care.   Have you or your family benefited from the Affordable Care Act? I’m going to keep sharing stories of New Mexicans who will be hurt by President-elect Trump and Congressional Republicans’ reckless repeal agenda on social media and on the Senate floor. Send me an email at SenTomUdall@tomudall.senate.gov to let me know what you stand to lose without the ACA’s protections.","video","https://www.facebook.com/senatortomudall/videos/10154746022122870/",NA,245,127,95,15,0,5,42,73
"senatortomudall","106433512869_10154746999472870","Senator Tom Udall","2017-01-12","2017-01-12 23:03:58","Kris is a single mom and small business owner from New Mexico. Before the Affordable Care Act (ACA), she couldn’t afford health insurance and went without coverage for a decade. During that time, she experienced an ectopic pregnancy—but was so afraid of the bills that she didn’t get treatment until her roommate found her unconscious and took her to the emergency room. Kris ended up with over $30,000 in medical bills for the essential health care she received.  Now, Kris is happily covered by the Affordable Care Act. But she wrote me because she’s very concerned about the reckless Republican efforts to repeal the health care law that she relies on. Kris worries that, if President-elect Trump and Republicans in Congress have their way and successfully repeal the ACA, another illness will leave her unable to take care of her son and jeopardize her business and her employees.  Kris can’t afford to go uninsured again—and neither can New Mexico. Families in every corner of our state rely on the #ACA to stay healthy. No American should have to risk going broke to see a doctor. I will do everything I can to protect New Mexicans, #KeepNMCovered and #SaveACA.  Share your Affordable Care Act story with me in the comments or at SenTomUdall@tomudall.senate.gov","photo","https://www.facebook.com/senatortomudall/photos/a.10150115125862870.291254.106433512869/10154746999472870/?type=3",NA,138,33,29,17,0,0,8,0
"senatortomudall","106433512869_10154750084582870","Senator Tom Udall","2017-01-13","2017-01-13 20:23:02","I am outraged that the Environmental Protection Agency (EPA) and Department of Justice (DOJ) decided that the EPA is not liable for the damages caused by the Gold King Mine Spill disaster. This last-ditch move by the federal government's lawyers goes back on the EPA's promise to the people of the state of New Mexico — and especially the Navajo Nation — that it would fully address this environmental disaster that still plagues the people of the Four Corners region.  The Navajo people have been the victims of terrible and deadly environmental injustice over many years. They have good reason to be skeptical now of the government’s honesty about environmental quality. A federal court will eventually decide the EPA’s liability under the Federal Tort Claims Act and other environmental laws. But I believe—regardless of the shameful legal interpretation of liability today or the outcome of any lawsuits in the future—that the federal government has a moral obligation to compensate farmers, small business owners and others injured for their losses; to fully reimburse local and Tribal governments for the costs of responding to the spill; and to continue to pay the costs of independent water monitoring until the people have faith in the water again. But I can assure those New Mexicans affected that I will not wait and hope for someone to do the right thing; Senator Heinrich, Congressman Lujan and I will be pushing for legislative solutions as well, and we will not give up until the government makes this right.","photo","https://www.facebook.com/senatortomudall/photos/a.10150115125862870.291254.106433512869/10154750084582870/?type=3",NA,174,55,78,6,1,4,20,111
"senatortomudall","106433512869_10154758374277870","Senator Tom Udall","2017-01-16","2017-01-16 15:21:25","Many of us are concerned and about the divides among us that have surfaced. But now is the time to regroup, rejuvenate, and reaffirm the values of Dr. Martin Luther King Jr., and the values upon which our nation was founded.  He said, ""Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that."" I believe there is more light than dark in our country, more love than hate. And that the people of America have more in common than we have differences.    We all must do what we can – each day – to embody the values and spirit of Dr. King, work toward unity and fight efforts to divide us. #MLKDAY2017","link","http://www.lcsun-news.com/story/news/2017/01/15/mlk-celebration/96622538/","lcsun-news.com",223,26,29,29,0,2,1,0
"senatortomudall","106433512869_10154762106252870","Senator Tom Udall","2017-01-17","2017-01-17 22:28:18","This Saturday, tens of thousands of people—including hundreds of New Mexicans—will be joining the Women's March on Washington in solidarity with women across America. On the first day of the new administration, the March will demonstrate that people across our nation believe that we are stronger because of our great diversity. This March and the countless sister Marches being organized across the country give Americans a chance to declare that women are foundational to our nation’s success and progress and demand that we work toward true equality and justice for all in every walk of life.  Do you plan on marching this weekend in DC or New Mexico? Comment below about #WhyIMarch or send me an email at SenTomUdall@tomudall.senate.gov to let me know why you’re standing up and making your voice heard.   To get involved, visit:  Women’s March on Washington, New Mexico state page: https://www.facebook.com/events/220341795062534/  Albuquerque March event page: https://www.facebook.com/events/1619169531719343/  Santa Fe March event page: https://www.facebook.com/events/734455440040072/","event","https://www.facebook.com/events/220341795062534/",NA,165,54,0,29,1,0,2,3
"senatortomudall","106433512869_10154763782327870","Senator Tom Udall","2017-01-18","2017-01-18 14:25:19","Carmen is a single parent and former educator with three children: Henry, Violeta, and Kenny. Carmen is the director of a nonprofit focused on providing college access to Native American youth. Her job does not provide her with health insurance, and she relies on the Affordable Care Act (ACA) and Medicaid to pay for her family’s annual exams, preventive care and medication.   Two of Carmen's children have allergies that require her to keep working Epi-Pens available at school and at home at all times. When Carmen went to renew her children’s Epi-Pen prescriptions at the beginning of the school year, she was astounded to see that prices had skyrocketed—but the ACA protected Carmen from paying exorbitant prices for her family’s life saving medications. But if President-elect Trump and congressional Republicans have their way, families like Carmen’s will lose their insurance coverage and be left out in the cold.    By repealing Obamacare without replacing it, President-elect Trump and congressional Republicans will create chaos in our health care system and our economy. Just today, the nonpartisan Congressional Budget Office reported that President-elect Trump and congressional Republicans's actions would cancel health insurance for 18 million Americans and force insurance premiums to rise as much as 25%—and that’s in just one year! In less than a decade, 32 million Americans covered by the ACA and expanded Medicaid programs would become uninsured.    Tens of thousands of families face the same situation as Carmen. Email me at SenTomUdall@tomudall.senate.gov to tell me how the Affordable Care Act has helped you or your family access the health care that you need.","photo","https://www.facebook.com/senatortomudall/photos/a.10150115125862870.291254.106433512869/10154763782327870/?type=3",NA,176,34,85,32,0,2,2,10
"senatortomudall","106433512869_10154764739172870","Senator Tom Udall","2017-01-18","2017-01-18 21:29:29","One of my top priorities as your United States Senator is helping businesses in New Mexico grow. To build a 21st century economy, create good jobs, and retain a vibrant, young workforce, we need a thriving business sector. New Mexico companies are at the forefront of science, technology, and innovation, but I want to help more businesses take full advantage of opportunities to increase the size and variety of our exports. Approximately 95 percent of the world market lies outside the United States; expanding exports and increasing access to international trade opportunities is essential to helping New Mexico businesses of all sizes succeed.  That’s why I’m pleased to invite you to “Growing New Mexico’s Economy—Exporting to Global Markets,” a free international trade conference in Albuquerque on February 21, 2017. The conference will feature presentations from specialists who will share their expertise on executing successful business strategies, finding available resources, and building strong international partnerships as well as panels stocked with industry professionals, trade experts, resource partners, and New Mexico companies that have successfully increased the exports of their products or services.  Conference participants will have the chance to learn more about regional developments that impact local business, network with fellow business leaders and attend a resource fair where they can receive one-on-one advice from experts about how to seize market opportunities and resolve their business challenges. As a member of both the U.S. Senate Commerce Committee and the Foreign Relations Committee, I am proud of New Mexico’s business community and excited about this opportunity to help our companies expand to global markets.  The conference is free of charge but space is limited, so I encourage you to register online as soon as possible. If you have any questions, please contact my Albuquerque Office at 505-346-6791.  I want to thank the Indian Pueblo Cultural Center for hosting us, and the U.S. Department of Commerce and the Border Industrial Association for co-sponsoring this event. I hope you’ll attend this conference and learn more about how to grow your business—and help grow New Mexico—through international trade.  Click the link below to register for the conference.   http://www.tomudall.senate.gov/?p=blog&id=2511","link","http://www.tomudall.senate.gov/?p=blog&id=2511","tomudall.senate.gov",49,14,8,11,0,0,0,0
"senatortomudall","106433512869_10154769773127870","Senator Tom Udall","2017-01-20","2017-01-20 16:49:00","The inauguration is a chance for our nation to come together and herald in the peaceful transition of power, a cornerstone of our democracy. Today will mark the 58th time we have put aside profound and serious differences and welcomed a new opportunity to work toward a better, more equal, and more free country.  I respect and understand the decisions made by many of my colleagues to boycott the inauguration. They are hurt, they are angry, and they are disappointed—and I am glad they are making their voices heard.  I don't agree with much of what Donald Trump stands for, but our nation is bigger than any one person. I will be attending his inauguration today—not in support of his actions, ideas or policies, but in support of our nation, and the government of the people, as we embark on the road ahead.  While I am clear eyed about the challenges that we face moving forward, I am also resolute in my belief that there is nothing that Americans can’t accomplish when we all work together. Our state and our country are full of some of the most compassionate, brilliant, and determined individuals the world has ever known, and I am confident that the unique culture, traditions and values that have helped us live up to so many challenges in our past will empower us to overcome the obstacles to justice and freedom that lie ahead.","status",NA,NA,278,114,25,25,1,2,7,27
"senatortomudall","106433512869_10154775086862870","Senator Tom Udall","2017-01-22","2017-01-22 02:44:26","Some photos from the Women’s March on Washington and the solidarity marches in Albuquerque and Las Cruces this morning. Hundreds of thousands turned out to stand up for women’s rights and demand change and equality in our country. Protest and demonstration are bedrocks of our democracy enshrined in the 1st amendment, and this morning people of all different ages, races, classes, sexual orientations, gender identities, and religions took to the streets—not only in Washington DC but in cities across New Mexico and America—to make their voices heard. I was glad to join them.","photo","https://www.facebook.com/senatortomudall/photos/a.10152779376857870.1073741862.106433512869/10154775070107870/?type=3",NA,766,84,57,150,6,2,1,4
"senatortomudall","106433512869_10154786855287870","Senator Tom Udall","2017-01-25","2017-01-25 00:06:32","The 2016 election was supposed to be a call to ‘drain the swamp’ — because so many Americans are fed up with business as usual in Washington, where moneyed special interests drown out the voices of regular Americans. But instead of reform, President Trump has set out rewarding Wall Street insiders and billionaire donors with cabinet and other key positions in the new administration, and the ultra-wealthy and well-connected look to have more power than ever in determining the future of our democracy.  That’s why I’ve re-introduced my Democracy for All Amendment, a constitutional amendment to help get big money out of politics and restore democratic power to the people by overturning the disastrous Citizens United Supreme Court decision and affirming the right of the people to pass state and federal laws regulating spending in elections.  Each year, because of Citizens United and subsequent decisions, the door has opened wider for rich special interests and corporations to pour unlimited sums of money into our elections and root themselves in our government. The only real way we can put our democracy back in the hands of all Americans, instead of a privileged, powerful few, is to amend the Constitution. Our Democracy for All Amendment restores the authority of the American people – through Congress and the states – to regulate campaign finance, so that our elections aren’t put up for sale to the highest bidder. Millions of people across the country and over a dozen state legislatures, including New Mexico’s, have voiced support for a constitutional amendment, and we must keep pressing forward to ensure a government that is of, by, and for the people.  http://krwg.org/post/udall-introduces-constitutional-amendment-overturn-citizens-united","link","http://krwg.org/post/udall-introduces-constitutional-amendment-overturn-citizens-united","krwg.org",1513,178,501,222,3,16,5,5
