"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senatortoomey","189274047751251_1483530868325556","Senator Pat Toomey","2017-01-02","2017-01-02 18:14:15",NA,"photo","https://www.facebook.com/PSUFball/photos/a.126878288197.103880.90410823197/10154400563683198/?type=3",NA,77,69,0,4,1,0,0,4
"senatortoomey","189274047751251_1485881331423843","Senator Pat Toomey","2017-01-03","2017-01-03 13:47:06","It is an honor to serve the people of Pennsylvania in the U.S. Senate. I appreciate the trust put in me to fight for you. With the right steps, I am confident that our country can be more secure and have a growing economy that works for everyone, not just a select few. I'm eager to get back to work.","link","http://www.mcall.com/opinion/yourview/mc-2017-congress-economy-obamacare-tax-reform-toomey-yv--20161229-story.html","mcall.com",134,273,8,5,13,0,0,40
"senatortoomey","189274047751251_1486290898049553","Senator Pat Toomey","2017-01-03","2017-01-03 17:35:19","It is an honor to serve the people of Pennsylvania as their senator. I am grateful for the support I received from across our state and humbled by the responsibilities of this office. We have many challenges to address and much work to do to improve the lives of all Americans.   We also have a tremendous opportunity before us. With the elections now in the rearview mirror, I hope Congress and the incoming president can focus on governing and working together on a variety of important issues.  First, Obamacare has been a disaster for many Pennsylvanians and it is only getting worse. Congress must repeal this failing law and replace it with a more sensible system that gives families and individuals affordable choices in coverage and takes Washington bureaucrats out of the doctor’s office.     Second, we need to reform our broken tax code to produce more investment, job creation, and economic prosperity here at home.  For too long the tax code has encouraged just the opposite as we watched businesses move overseas while special interests gamed the system.  Third, we should reduce the regulation coming out Washington including repealing most of Dodd-Frank and other regulations that are needlessly harming individuals and companies.  Fourth, I remain deeply concerned about the security of the American people. Around the world, we see more instability and hostile countries expanding their influence at our expense. The threat from violent Islamist extremists is growing.   At home, people are worried about crime in their communities. I am committed to supporting a more robust security agenda that will keep the American people safe.  With so many issues facing the 115th Congress, I anticipate that it will be a very busy one right out of the gates. So let’s get to work.","status",NA,NA,273,859,28,8,2,1,5,167
"senatortoomey","189274047751251_1486899734655336","Senator Pat Toomey","2017-01-03","2017-01-03 22:55:17","WATCH: Check out this behind-the-scenes look at my day today as I was sworn in to the 115th Congress.","video","https://www.facebook.com/senatortoomey/videos/1486899734655336/",NA,493,315,57,25,0,2,19,68
"senatortoomey","189274047751251_1491166907561952","Senator Pat Toomey","2017-01-05","2017-01-05 20:57:27","A sweet seat.","link","http://www.mcall.com/news/nationworld/pennsylvania/capitol-ideas/mc-pat-toomey-again-tapped-to-maintain-senate-candy-stash-20170105-story.html","mcall.com",184,262,36,11,25,1,2,16
"senatortoomey","189274047751251_1495460543799255","Senator Pat Toomey","2017-01-08","2017-01-08 17:27:41","Kris, Duncan, and I are having a fun time at the PA Farm Show.  Next stop... milk shakes.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1495460543799255/?type=3",NA,211,232,4,8,1,3,1,12
"senatortoomey","189274047751251_1497465506932092","Senator Pat Toomey","2017-01-10","2017-01-10 19:26:55","Jon Adler, president of the Federal Law Enforcement Officers Association, and Don Mihalek  VP & Director Legislative Affairs for FLEOA stopped by to present me with the 2016 Legislator of the Year award.  Thank you for all you do.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1497465103598799/?type=3",NA,127,231,17,3,13,1,0,31
"senatortoomey","189274047751251_1498778796800763","Senator Pat Toomey","2017-01-12","2017-01-12 00:33:43","For the tens of thousands of Pennsylvania families suffering from higher health care costs and fewer choices, today’s process to begin to repeal Obamacare is welcome news. The heart of Obamacare — the individual health care market — is failing. Insurers are abandoning the market, premiums are skyrocketing, and people are losing the coverage they were promised they could keep.    Obamacare rests upon a flawed premise: that government must be in control of your health care. To help the limited number of individuals with the costliest preexisting conditions, Obamacare upended the entire system for everyone. This big government approach to health insurance didn’t work.  It resulted in higher premiums and deductibles, fewer choices in plans and doctors, and less hiring and economic growth. Pennsylvanians deserve a health care system that empowers families and individuals to access the care they need, at a price they can afford, from a doctor they choose.  With today’s action in the Senate, they are on their way to getting it.  I have said for many years we should move toward a system that gives Americans more affordable choices in coverage and takes Washington bureaucrats out of the doctor’s office. As Obamacare is repealed and we transition to a better health care system, we cannot pull the rug out from under anyone who is currently covered by Obamacare. This means federal taxpayer subsidies should be maintained for a period of time until an affordable, consumer-driven alternative is permitted.    There are a number of good ideas and timelines for a replacement structure, but all should aim to protect the American people from further damage inflicted by Obamacare. Today, I had a productive conversation about some of the ways we can work together to improve the health care system with Dr. Tom Price, a supremely qualified candidate to serve as the Secretary of the Department of Health and Human Services. I am looking forward to Dr. Price’s confirmation hearing and working with the new administration on giving people choice and affordability in health care once again.","status",NA,NA,674,4757,373,36,9,5,183,2098
"senatortoomey","189274047751251_1503473532997956","Senator Pat Toomey","2017-01-15","2017-01-15 19:32:15","Alex's Lemonade Stand Foundation does a terrific job in the fight against pediatric cancer. Kris and I were honored to join them last night at the Lemon Ball.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1503473532997956/?type=3",NA,547,1523,500,32,9,6,9,523
"senatortoomey","189274047751251_1503704466308196","Senator Pat Toomey","2017-01-16","2017-01-16 00:04:24","#HereWeGo","photo","https://www.facebook.com/steelers/photos/a.10150103322384905.280391.146175949904/10155112910679905/?type=3",NA,49,193,0,3,0,0,0,15
"senatortoomey","189274047751251_1504414952903814","Senator Pat Toomey","2017-01-16","2017-01-16 15:04:51","Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that. Martin Luther King, Jr.","status",NA,NA,480,1407,62,46,8,1,7,116
"senatortoomey","189274047751251_1509418975736745","Senator Pat Toomey","2017-01-20","2017-01-20 17:58:59","Thank you to the PA National Guard units helping at the Capitol today","status",NA,NA,288,262,3,14,2,0,0,9
"senatortoomey","189274047751251_1509424342402875","Senator Pat Toomey","2017-01-20","2017-01-20 18:04:56","My wife Kris and I wanted our older two children to witness this celebration of our democracy.  We brought Bridget and Patrick to the west front of the Capitol Building to see history first hand.  I hope the sight of the three branches of our government, both parties, standing together will teach them – and remind us all – that we were sent here to do the people’s work, to solve the problems we face, and to leave to our children a stronger, safer, more prosperous nation.  On a number of issues, President Trump and I agree – the need for tax reform, regulatory roll back, and a strong American leadership role in the world.  I am enthusiastically looking forward to working with the new president and colleagues on both sides of the aisle to make major progress on these and other important issues.","status",NA,NA,513,1834,36,33,9,5,22,399
"senatortoomey","189274047751251_1509460222399287","Senator Pat Toomey","2017-01-20","2017-01-20 18:42:01","Read here: my reaction to @POTUS @RealDonaldTrump’s #Inauguration http://www.toomey.senate.gov/?p=news&id=1875","link","http://www.toomey.senate.gov/?p=news&id=1875","toomey.senate.gov",83,834,13,3,0,0,32,174
"senatortoomey","189274047751251_1511845025494140","Senator Pat Toomey","2017-01-22","2017-01-22 21:36:49","One more win and Pittsburgh's going to the Super Bowl. #HereWeGo","photo","https://www.facebook.com/steelers/photos/a.10150103322384905.280391.146175949904/10155135775074905/?type=3",NA,74,528,0,5,1,0,3,37
"senatortoomey","189274047751251_1512582185420424","Senator Pat Toomey","2017-01-23","2017-01-23 13:32:46","The Patriots had @steelers number last night!  I will pay my debt to @SenWarren with Penn Pilsner Beer @PennBrewery","status",NA,NA,130,2289,35,3,2,2,21,117
"senatortoomey","189274047751251_1522331074445535","Senator Pat Toomey","2017-01-30","2017-01-30 15:53:08","It is crucial that our nation strike the right balance between defending our people against the deadly threat of international terrorism and providing a safe haven for innocent refugees seeking peace and freedom.    I support the administration's decision to increase vetting and temporarily suspend the admission of certain individuals from states that sponsor or provide safe havens to terrorists, or are too weak to prosecute terrorists within their borders.  Terrorists have successfully infiltrated refugee populations entering Europe and gone on to commit heinous acts of barbarity. I have long been concerned about our ability to distinguish between predominantly peaceful and innocent refugees, and the likely rare, but lethal, terrorists in the midst of those refugees coming from terror havens and lawless lands. That is why I, along with a bipartisan majority of the House and Senate, supported the SAFE Act, which called for enhanced vetting.   Unfortunately, the initial executive order was flawed – it was too broad and poorly explained.  This apparently resulted in denied entry into the United States for lawful permanent residents and others who should have been allowed immediate entry.  Fortunately, the administration has clarified that this order does not apply to Green Card holders and that the Secretaries of State and Homeland Security have the ability to grant exceptions which certainly should apply to, among others, foreign nationals who served the U.S. military in various support roles.    I look forward to learning more about how the administration intends to enforce this executive order, to determine whether it indeed strikes the appropriate balance between defending our nation and maintaining our ability to provide a safe haven for persecuted individuals.","status",NA,NA,1085,6108,360,85,6,6,79,2643
"senatortoomey","189274047751251_1523900307621945","Senator Pat Toomey","2017-01-31","2017-01-31 19:14:55","Marta from my Allentown office was in Lehighton helping veterans today.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1523900307621945/?type=3",NA,405,1608,20,23,2,0,3,73
"senatortoomey","189274047751251_1524090917602884","Senator Pat Toomey","2017-01-31","2017-01-31 21:42:28","Well played U.S. Senator Elizabeth Warren and her Patriots.  Brady and Co. had the Steelers number last week.  So I paid of my wager on the AFC game with some Penn Pilsner beer from Penn Brewery.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1524090690936240/?type=3",NA,658,2404,71,19,14,13,9,140
"senatortoomey","189274047751251_1524378687574107","Senator Pat Toomey","2017-02-01","2017-02-01 01:29:21","I was pleased to see President Trump nominate Judge Neil Gorsuch to fill Justice Antonin Scalia’s seat on the Supreme Court of the United States.   Crucially, Judge Gorsuch understands the proper role of a judge. He understands that his job is to apply the law and U.S. Constitution as written, not to pick winners and losers based on personal or partisan policy preferences. Judge Gorsuch’s record shows that he will treat everyone equally—regardless of race, sex, religion, sexual orientation, political views, influence, or wealth. And I believe that like Justice Scalia, Judge Gorsuch will be a principled justice, will be dedicated to the principles of originalism, and will neutrally apply the law, even when doing so leads to a policy outcome he personally opposes.   Judge Gorsuch’s record indicates that he has the character, intellect, and experience to make an excellent addition to the U.S. Supreme Court.   Judge Gorsuch has sterling credentials. He earned his undergraduate degree from Columbia University, his law degree from Harvard, and a PhD in Law from Oxford University. In 2006, the U.S. Senate confirmed Judge Gorsuch to the U.S. Court of Appeals for the Tenth Circuit without a single Democrat or Republican objecting.   I have long held that when considering judicial nominees, objective qualifications are more important than partisan politics, and Senators should work across the aisle to fill the federal bench with highly qualified jurists.   I have worked on a bipartisan basis with Senator Casey and the Obama White House to fill 16 vacancies on the federal bench in Pennsylvania. And, although I knew I would disagree with many of her decisions, I supported President Obama’s nomination of Judge Sonia Sotomayor to the U.S. Supreme Court.   I plan to apply the same standard of fairness to the nomination of Judge Neil Gorsuch. And I hope my fellow Senators will do the same. I hope they will review Judge Gorsuch’s record with an open mind. And I hope they will remember that the test is not whether we agree with every decision Judge Gorsuch has rendered, but whether Judge Gorsuch understands the proper role of a judge and has the character, intellect, and experience to merit confirmation.  I look forward to the Judiciary Committee’s hearing and meeting Judge Gorsuch in person.","status",NA,NA,1161,5779,132,120,15,4,47,1538
"senatortoomey","189274047751251_1525159197496056","Senator Pat Toomey","2017-02-01","2017-02-01 14:00:56","In honor of Black History Month: Philadelphia’s Marian Anderson sings at the Lincoln Memorial.  Let Freedom Ring.","video","https://www.youtube.com/watch?v=mAONYTMf2pk",NA,258,4120,50,21,3,3,4,98
"senatortoomey","189274047751251_1526605727351403","Senator Pat Toomey","2017-02-02","2017-02-02 14:31:21","I introduced Dr. David Shulkin at his hearing to be the head of the Veterans Administration.  Our vets should be first in line for the best care.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1526605727351403/?type=3",NA,634,7199,107,38,4,1,9,283
"senatortoomey","189274047751251_1531510060194303","Senator Pat Toomey","2017-02-06","2017-02-06 16:18:23","My D.C. and PA offices are receiving a high volume of calls and emails from people outside of our state weighing in on President Trump's cabinet nominees. Pennsylvanians – if you are having trouble getting through, please know that you can still reach me via my website at toomey.senate.gov.   My staff and I do receive and review your messages and appreciate hearing from you.","status",NA,NA,4204,40003,5716,78,628,61,72,3553
"senatortoomey","189274047751251_1534853293193313","Senator Pat Toomey","2017-02-09","2017-02-09 13:13:24","Due to the weather, my offices in PA may be a bit late opening this morning. Be safe out there.","status",NA,NA,213,2459,258,10,338,9,7,247
"senatortoomey","189274047751251_1537110286300947","Senator Pat Toomey","2017-02-11","2017-02-11 15:25:10","Saddened to hear of Al Boscov's passing. He was a terrific leader and community partner. My condolences to his family.","status",NA,NA,165,571,15,3,0,0,63,17
"senatortoomey","189274047751251_1540355122643130","Senator Pat Toomey","2017-02-14","2017-02-14 18:02:16","It was a pleasure to meet with Judge Gorsuch in my office today.  We enjoyed a wide-ranging discussion.  It is clear to me that Judge Gorsuch is eminently qualified and understands the proper role of a judge. #SCOTUS","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1540355122643130/?type=3",NA,727,2148,73,62,11,0,12,614
"senatortoomey","189274047751251_1542593025752673","Senator Pat Toomey","2017-02-16","2017-02-16 17:37:35","Please join me for my 48th telephone town hall today/Thursday at 2:05.   Listen on your cell phone or computer and ask me a question online.  Click here for the audio link. http://vekeo.buzz/Toomey  Note the link will not be live until about 10 minutes before the call.  I will take questions from those on the phone, via the audio link, and from comments in this Facebook thread.","link","http://vekeo.buzz/Toomey","vekeo.buzz",265,6157,2298,7,36,68,9,665
"senatortoomey","189274047751251_1543990545612921","Senator Pat Toomey","2017-02-17","2017-02-17 17:54:24","Effective March 1, my Philadelphia office will be moving to the federal building known as the U.S. Custom House located at 200 Chestnut Street.    The new office is 1.5 miles from the current office.   Federal law states that senators’ home state offices must be in a federal building if suitable space is available.  The lease for the old office space on John F. Kennedy Boulevard is expiring.    My state staff has been researching suitable and available federal space in Philadelphia since May 2016.  The new address will be: U.S. Custom House 200 Chestnut Street Suite 600 Philadelphia, Pa. 19106","status",NA,NA,239,1046,186,5,23,4,1,79
"senatortoomey","189274047751251_1549339001744742","Senator Pat Toomey","2017-02-22","2017-02-22 14:46:04","Had a productive meeting yesterday with members from @TuesdayswithToomey Harrisburg at my Harrisburg office. Looking forward to similar meetings in the future.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1549339001744742/?type=3",NA,386,1145,112,12,97,69,7,86
"senatortoomey","189274047751251_1551462231532419","Senator Pat Toomey","2017-02-24","2017-02-24 14:26:39","Thanks to the leaders of Pittsburgh's Tuesdays with Toomey group for taking the time yesterday. Looking forward to additional meetings across PA soon.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1551462231532419/?type=3",NA,374,881,43,16,15,12,12,178
"senatortoomey","189274047751251_1554783911200251","Senator Pat Toomey","2017-02-27","2017-02-27 13:50:07","Acts of hate  and intolerance, such as what happened in Philadelphia last weekend, are disgusting and have no place in our society. http://www.philly.com/philly/news/Cops-Report-of-vandalism-at-Jewish-cemetery.html","link","http://www.philly.com/philly/news/Cops-Report-of-vandalism-at-Jewish-cemetery.html","philly.com",310,579,107,1,1,5,171,213
"senatortoomey","189274047751251_1555012194510756","Senator Pat Toomey","2017-02-27","2017-02-27 18:23:32","Anti-Semitic acts and crimes based upon religion are heinous and intolerable. Hoping for a swift investigation. http://www.philly.com/philly/blogs/real-time/Cherry-Hill-Jewish-center-is-evacuated.html","link","http://www.philly.com/philly/blogs/real-time/Cherry-Hill-Jewish-center-is-evacuated.html","philly.com",240,385,58,2,1,2,68,99
"senatortoomey","189274047751251_1556088247736484","Senator Pat Toomey","2017-02-28","2017-02-28 14:07:43","ICYMI: My Pittsburgh office is moving Downtown next week to the Grant Building. Full details here: http://www.toomey.senate.gov/?p=news&id=1888","link","http://www.toomey.senate.gov/?p=news&id=1888","toomey.senate.gov",51,273,40,0,14,2,0,42
"senatortoomey","189274047751251_1556733994338576","Senator Pat Toomey","2017-03-01","2017-03-01 03:47:27","I thought @POTUS gave a hopeful, optimistic, forward-looking message. #JointAddress","status",NA,NA,676,1156,33,50,277,14,28,526
"senatortoomey","189274047751251_1556738451004797","Senator Pat Toomey","2017-03-01","2017-03-01 03:52:42","My full statement regarding the #JointAddress POTUS gave tonight are available here: http://www.toomey.senate.gov/?p=news&id=1890","link","http://www.toomey.senate.gov/?p=news&id=1890","toomey.senate.gov",175,585,29,21,9,5,9,271
"senatortoomey","189274047751251_1557494520929190","Senator Pat Toomey","2017-03-01","2017-03-01 20:09:10","Productive meeting with Fayette County Commissioners Angela Zimmerlink, Vincent Vicites, and Dave Lohr about economic development in their county.   Thank you for coming by.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1557494520929190/?type=3",NA,78,433,8,6,3,0,1,84
"senatortoomey","189274047751251_1559739367371372","Senator Pat Toomey","2017-03-03","2017-03-03 16:22:53","Great to meet with folks from @PAFarmBureau & Future Farmers of America. We discussed the need for tax reform and the need to roll back excessive regulations on PA farms.  Ag is big business in our state adding $7.5B to PA's economy.","photo","https://www.facebook.com/senatortoomey/photos/a.199866516692004.51437.189274047751251/1559738437371465/?type=3",NA,150,461,9,12,3,0,3,79
"senatortoomey","189274047751251_1563471093664866","Senator Pat Toomey","2017-03-06","2017-03-06 16:46:22","On my way to DC, I am happy to stop by CBS 3 TV in Philadelphia to answer a few questions -- including some from social media.  You can watch this live streaming at about 2:10 today at the link below.","link","http://philadelphia.cbslocal.com/show/live-video/","philadelphia.cbslocal.com",63,364,77,3,16,2,5,95
"senatortoomey","189274047751251_1563477323664243","Senator Pat Toomey","2017-03-06","2017-03-06 16:55:04","Thomas Starzl was a legend & pioneer in transplant medicine. His extraordinary work @UPMCnews saved countless lives. RIP, age 90.","link","http://www.post-gazette.com/local/city/2017/03/05/Dr-Thomas-E-Starzl-1926-2017-A-medical-pioneer-who-made-liver-transplants-almost-routine/stories/201703050220","post-gazette.com",49,95,7,3,0,0,16,7
