"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senjoniernst","351671691660938_10155764865254360","Senator Joni Ernst","2017-11-10","2017-11-10 17:51:19","As often as I can, I lead ruck marches with veterans and staff. We march to remember the sacrifices of all our veterans, and all those who continue to serve.","video","https://www.facebook.com/senjoniernst/videos/10155764865254360/",NA,402,104,126,74,2,4,3,26
"senjoniernst","351671691660938_630988030395968","Senator Joni Ernst","2017-01-01","2017-01-01 14:00:07","Wishing you a happy and healthy new year!","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/630988030395968/?type=3",NA,184,22,1,10,0,0,0,0
"senjoniernst","351671691660938_637154943112610","Senator Joni Ernst","2017-01-03","2017-01-03 19:09:07","Congrats to my friend Senator Chuck Grassley, Iowa's commonsense voice in the United States Senate, who was sworn in today!","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/637154943112610/?type=3",NA,912,56,20,45,1,1,3,7
"senjoniernst","351671691660938_637219069772864","Senator Joni Ernst","2017-01-03","2017-01-03 22:46:42","It was an honor to visit with Secretary of Defense Nominee General Mattis this afternoon. There is no question that he has served as an extraordinary leader in our military in the United States Marine Corps, and as the former Commander of U.S. Central Command and coauthor of the Counterinsurgency Field Manual.   During our meeting, we discussed a wide-range of topics, including my priority of the need to combat sexual assault in the military. We also talked about the many threats rising around the globe, including Asia and Europe. I look forward to asking General Mattis more questions and getting his public confirmation to work with me on my priorities during his upcoming confirmation hearing. I am extremely concerned about the rising threat of ISIS in areas like Southeast Asia and Latin America, as well as many other threats that the incoming administration needs to address.    As a member of the Senate Armed Services Committee, I look forward to continuing to thoroughly vet him for this position and ensuring he will focus on these objectives and more in this position.  http://www.ernst.senate.gov/public/index.cfm/2017/1/photo-ernst-meets-with-secretary-of-defense-nominee-general-james-mattis","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/637219069772864/?type=3",NA,254,12,8,11,0,0,0,0
"senjoniernst","351671691660938_637584376403000","Senator Joni Ernst","2017-01-04","2017-01-04 18:28:01","I had a great conversation with Secretary of Homeland Security nominee General Kelly this morning about a number of issues critical to Iowans.  In particular, I stressed the urgent need to pursue Sarah’s Law, legislation to honor Sarah Root, an Iowan who was killed nearly a year ago by a drunk driver in the country illegally. The problems with the current administration’s enforcement priorities and lack of engagement with victims of crimes committed by illegal immigrants is completely unacceptable. It is my hope that the new administration will work with Congress to implement this legislation.  Additionally, I underscored my increasing concerns over the rise of ISIS in Latin America, which I previously expressed to President Obama. We must not turn a blind eye to this emerging threat and the potential for international terror groups to exploit smuggling routes used by drug cartels. As the former Commander of the United States Southern Command, I sought assurances from General Kelly that the new administration would lead where this current administration has failed.  I am grateful for the thoughtful, productive dialogue today, and I look forward to continuing to thoroughly vet General Kelly for this position in the Senate.  http://www.ernst.senate.gov/public/index.cfm/2017/1/photo-ernst-meets-with-secretary-of-homeland-security-nominee-general-john-kelly","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/637584376403000/?type=3",NA,205,27,20,16,0,0,0,0
"senjoniernst","351671691660938_638048586356579","Senator Joni Ernst","2017-01-05","2017-01-05 17:54:41","Today, along with Senator Chuck Grassley, Senator Deb Fischer, Senator Ben Sasse, and a growing number of my Senate colleagues, I introduced my first bill in the 115th Congress, Sarah’s Law, in honor of Sarah Root, an Iowan who was killed nearly one year ago by a drunk driver in the country illegally.  It is unconscionable that nearly one year after Sarah’s death, her killer, Edwin Mejia remains at-large, and the fact remains that today U.S. immigration law does not require federal immigration authorities to detain those here illegally who harm American citizens. Although nothing can bring Sarah back to her family or heal the wounds of such unimaginable loss, we have an obligation to the American people to ensure that no citizen falls victim to this injustice again. Sarah’s Law is about honoring Sarah, and her legacy; I have already had conversations with the incoming administration, and am hopeful that they will work with Congress to pursue this legislation and finally get some long-overdue justice for the Root family.  http://www.ernst.senate.gov/public/index.cfm/press-releases?ID=DE7DCE98-E0DF-4165-BFF3-F965D9648CFF","link","http://www.ernst.senate.gov/public/index.cfm/press-releases?ID=DE7DCE98-E0DF-4165-BFF3-F965D9648CFF","ernst.senate.gov",184,9,18,16,0,0,5,0
"senjoniernst","351671691660938_638059336355504","Senator Joni Ernst","2017-01-05","2017-01-05 18:26:01","I had a productive meeting with Small Business Administration nominee Linda McMahon discussing the challenges America’s small businesses are facing, and sharing our visions for a path forward.  Small businesses make up 97 percent of all employers in Iowa, and I enjoyed hearing how Ms. McMahon will go to the mat for our small businesses and work to create an environment where job creators and our entrepreneurs can thrive again.  We also discussed my legislation, the Prove It Act, which gives small businesses a stronger voice in the regulatory process. The Prove It Act is one step we can take to provide regulatory relief for some of America’s most dedicated and hard-working entrepreneurs.    As a member of the Senate Committee on Small Business and Entrepreneurship, I look forward to continuing the vetting process for Ms. McMahon and ensuring that small businesses have a strong voice in the new administration.  http://www.ernst.senate.gov/public/index.cfm/2017/1/photo-ernst-meets-with-small-business-administration-nominee-linda-mcmahon","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/638059336355504/?type=3",NA,63,6,3,5,0,0,0,0
"senjoniernst","351671691660938_638089893019115","Senator Joni Ernst","2017-01-05","2017-01-05 20:32:42","I greatly appreciate the time of the EPA Administrator nominee, Scott Pruitt, to visit about a number of important issues to Iowans from scrapping the Waters of the United States (WOTUS) rule, to our state’s wind energy industry, to upholding the Renewable Fuel Standard (RFS) in accordance with congressional intent.   In regards to RFS, it is imperative that the law is followed. I received assurances from Mr. Pruitt that he intends to do so, and I will hold him to that commitment. I was pleased to hear that President-elect Trump made it clear to Mr. Pruitt that he cares about the RFS. Mr. Pruitt told me in our meeting that the role of the EPA is to enforce the law as written by Congress, and not undermine the RFS.   I stressed that a strong and robust RFS encourages consumer choice, investment, and innovation. The RFS is a major driver of alternative fuels and economic development, and I will always protect and promote it in the Senate.   We also discussed increasing concerns over the environmental regulations coming out of the EPA. Overall, we had a thoughtful conversation about the need to do everything possible to fix these federal overreaches and get the EPA back on track to operating within the congressional intent of our laws, acknowledging the federal-state partnerships that exist and faithfully considering the comments of the public.   As a member of the Senate Committee on Environment & Public Works, I look forward to continuing to thoroughly vet him for this position and ensuring he will focus on these objectives of major importance to Iowans.   http://www.ernst.senate.gov/public/index.cfm/2017/1/photo-ernst-meets-with-scott-pruitt-nominee-to-be-epa-administrator","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/638089893019115/?type=3",NA,61,9,3,2,0,0,0,1
"senjoniernst","351671691660938_638169833011121","Senator Joni Ernst","2017-01-06","2017-01-06 00:27:13","Pleased the U.S. House of Representatives passed a resolution condemning the dangerous, anti-Israel UN action. Proud to have introduced legislation in Senate to show we also #StandWithIsrael.","status",NA,NA,114,8,4,9,0,0,0,0
"senjoniernst","351671691660938_638405759654195","Senator Joni Ernst","2017-01-06","2017-01-06 13:45:09","I’m excited to head out on my 2017 #99CountyTour tomorrow. Follow along by adding me on Snapchat.","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/638405759654195/?type=3",NA,45,3,0,0,0,1,0,0
"senjoniernst","351671691660938_638439542984150","Senator Joni Ernst","2017-01-06","2017-01-06 15:21:28","Yesterday, I reintroduced Sarah's Law so that families like the Roots can receive justice. Read more in the Omaha World-Herald: http://www.omaha.com/news/politics/nebraska-iowa-lawmakers-reintroduce-bill-named-for-sarah-root-who/article_948814ae-7bf3-5b57-a761-0d2abbbc1d55.html","link","http://www.omaha.com/news/politics/nebraska-iowa-lawmakers-reintroduce-bill-named-for-sarah-root-who/article_948814ae-7bf3-5b57-a761-0d2abbbc1d55.html","omaha.com",92,7,4,8,0,0,0,0
"senjoniernst","351671691660938_638444402983664","Senator Joni Ernst","2017-01-07","2017-01-07 14:30:01","I’m kicking off my 2017 #99CountyTour today. Be sure to add me on Snapchat to follow along with me","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/638444402983664/?type=3",NA,27,2,1,0,0,0,0,0
"senjoniernst","351671691660938_638444652983639","Senator Joni Ernst","2017-01-08","2017-01-08 15:00:00","Have you added me on Snapchat yet? Be sure to watch my story from yesterday’s #99CountyTour kickoff before it disappears!","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/638444652983639/?type=3",NA,15,4,2,2,0,0,0,0
"senjoniernst","351671691660938_638573129637458","Senator Joni Ernst","2017-01-06","2017-01-06 21:39:00","I am heartbroken over the news of the shooting at the Fort Lauderdale airport. My prayers are with the victims and their families.","status",NA,NA,58,8,1,0,0,1,32,4
"senjoniernst","351671691660938_640458939448877","Senator Joni Ernst","2017-01-10","2017-01-10 17:06:35","Thoughtful discussion with Warren County business leaders and officials on improving our infrastructure at Saturday's roundtable. #99CountyTour","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/640458939448877/?type=3",NA,24,1,2,1,0,0,0,0
"senjoniernst","351671691660938_640459222782182","Senator Joni Ernst","2017-01-10","2017-01-10 17:10:08","Thankful to have spent time with the students of Clarinda Academy in Page County and to share my 4 pillars of success with them. #99CountyTour","photo","https://www.facebook.com/senjoniernst/photos/a.368712846623489.1073741828.351671691660938/640459222782182/?type=3",NA,35,2,3,1,0,0,0,0
