"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senrobportman","45243961073_10154157125631074","Senator Rob Portman","2017-01-01","2017-01-01 03:55:45","Tough loss for our Buckeyes tonight. But great season, and we'll be back next year with a strong team. To Pat Elflein and our other Buckeye seniors, we are proud of you and wish you good luck in your post-OSU career!","status",NA,NA,80,3,2,0,0,0,0,0
"senrobportman","45243961073_10154158601661074","Senator Rob Portman","2017-01-01","2017-01-01 17:15:17","I want to wish all of you a Happy New Year. I look forward to getting back to work for you.","video","https://www.facebook.com/senrobportman/videos/10154158601661074/",NA,138,14,6,4,0,0,0,0
"senrobportman","45243961073_10154161820031074","Senator Rob Portman","2017-01-02","2017-01-02 21:01:22","Back in DC for swearing in and took whole family to new African American History Museum. Powerful experience. Encourage a visit.","photo","https://www.facebook.com/senrobportman/photos/a.99307491073.90517.45243961073/10154161820031074/?type=3",NA,250,23,5,7,0,0,0,0
"senrobportman","45243961073_10154163738076074","Senator Rob Portman","2017-01-03","2017-01-03 17:25:02","‪It's opening day in the United States Senate & I'm excited about what we can accomplish on jobs, health care, & other important issues. ‬","video","https://www.facebook.com/senrobportman/videos/10154163738076074/",NA,103,35,3,4,4,0,0,1
"senrobportman","45243961073_10154164149766074","Senator Rob Portman","2017-01-03","2017-01-03 20:26:31","Ceremonial swearing-in with Supreme Court Justice Samuel Alito.","video","https://www.facebook.com/senrobportman/videos/10154164149766074/",NA,183,31,13,18,1,0,0,1
"senrobportman","45243961073_10154164349141074","Senator Rob Portman","2017-01-03","2017-01-03 22:26:30","It was great to be joined by my whole family here at the Capitol on opening day of the United States Senate and the swearing-in of my second term. I'm excited about all we can accomplish for Ohio and our country. Time to get back to work!","photo","https://www.facebook.com/senrobportman/photos/a.10151698814181074.1073741828.45243961073/10154164347111074/?type=3",NA,452,21,15,16,1,0,0,0
"senrobportman","45243961073_10154164488036074","Senator Rob Portman","2017-01-03","2017-01-03 23:52:06","Ready to work on boosting the economy & job creation, restoring U.S. leadership in the world, and helping the most vulnerable in our society:","video","https://www.facebook.com/senrobportman/videos/10154164488036074/",NA,96,34,4,2,5,0,0,0
"senrobportman","45243961073_10154166150971074","Senator Rob Portman","2017-01-04","2017-01-04 17:29:04","I want to condemn the hateful act that took place at Hebrew Union College in Cincinnati.  We must stand in solidarity with our friends at HUC-JIR and make clear there is no place for this in our society.  http://www.cincinnati.com/story/news/crime/2017/01/03/hebrew-union-college-sign-painted-swastika/96116230/","link","http://www.cincinnati.com/story/news/crime/2017/01/03/hebrew-union-college-sign-painted-swastika/96116230/","cincinnati.com",125,49,18,1,0,4,28,51
"senrobportman","45243961073_10154166566416074","Senator Rob Portman","2017-01-04","2017-01-04 20:43:15","Thanks to my friends Jack Nicklaus & his wife Barbara for joining me & my family yesterday at the swearing-in ceremony! Ohio is where it all began for the #GoldenBear.","photo","https://www.facebook.com/senrobportman/photos/a.99307491073.90517.45243961073/10154166566416074/?type=3",NA,200,21,4,7,0,0,0,3
"senrobportman","45243961073_10154166594381074","Senator Rob Portman","2017-01-04","2017-01-04 21:00:06","By allowing the UN Security Council to pass Resolution 2334, the Obama administration overturned nearly 40 years of bipartisan U.S. policy towards anti-Israel UNSC resolutions. As a result, President Obama has left a key regional ally exposed and has undermined faith in America's commitment to stand by its allies. Today, I am pleased to join a bipartisan group of Senators who stand with Israel and to condemn the administration’s efforts to undermine Israel’s legitimacy and subvert direct peace negotiations. With this Senate Resolution, Congress is taking action against UN efforts to target Israel, while signaling that the UN is not the appropriate body to dictate negotiations between Israel and the Palestinians. I look forward to working with my Senate colleagues and the new administration to restore the bipartisan consensus on U.S. support for Israel. http://bit.ly/2jam5xM","status",NA,NA,126,55,17,8,1,0,0,12
