"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senschumer","15771239406_10155240621319407","Senator Chuck Schumer","2017-04-01","2017-04-01 15:03:27","Looking forward to another great season for the Great Kills All-Stars, the 10-year-old champs in New York State!","photo","https://www.facebook.com/senschumer/photos/a.10150113225969407.290747.15771239406/10155240621319407/?type=3",NA,417,112,9,23,2,0,0,1
"senschumer","15771239406_10155244665464407","Senator Chuck Schumer","2017-04-02","2017-04-02 20:24:41","Signing this rollback into law would mean private data from our laptops, iPads, and even our cellphones would be fair game for internet companies to sell and make a fast buck. An overwhelming majority of Americans believe that their private information should be just that—private—and not for sale without their knowledge. That’s why I’m publicly urging President Trump to veto this resolution. Read more via Newsday:","link","http://www.newsday.com/news/nation/schumer-calls-on-trump-to-veto-internet-privacy-bill-1.13351488","newsday.com",2711,404,373,117,17,19,12,197
"senschumer","15771239406_10155248384939407","Senator Chuck Schumer","2017-04-03","2017-04-03 23:53:54","Spoke today on the upcoming vote to confirm Judge Neil Gorsuch to the Supreme Court.   ""The answer, again, isn’t to change the rules, it’s to change the nominee."" Watch more:","video","https://www.facebook.com/senschumer/videos/10155248384939407/",NA,2894,690,283,249,21,14,7,99
"senschumer","15771239406_10155250695144407","Senator Chuck Schumer","2017-04-04","2017-04-04 15:46:49","#EqualPayDay is a reminder that glass ceilings are everywhere; that there are hugely consequential, tangible barriers that women face every single day that men do not. It's not right - and it's holding the American Dream out of reach for far too many women in this country.","photo","https://www.facebook.com/senschumer/photos/a.10150113225969407.290747.15771239406/10155250695144407/?type=3",NA,511,197,276,9,9,21,81,195
"senschumer","15771239406_10155250752709407","Senator Chuck Schumer","2017-04-04","2017-04-04 15:58:39","Watch my friend Senator Jon Tester on the Senator Floor talking about just-signed law to rollback broadband privacy protections for consumers and allow internet providers to sell your private internet data - SS#s, health & financial information, your children's information- to the highest bidder without your consent.","video","https://www.facebook.com/senatortester/videos/10155167055531665/",NA,403,141,0,10,6,11,39,249
"senschumer","15771239406_10155252285484407","Senator Chuck Schumer","2017-04-05","2017-04-05 01:39:42",NA,"video","https://www.facebook.com/jeffmerkley/videos/10154431245691546/",NA,2131,252,0,317,19,18,5,86
"senschumer","15771239406_10155253698969407","Senator Chuck Schumer","2017-04-05","2017-04-05 13:14:02","Gen. McChrystal is right. ""Public broadcasting makes our nation smarter, stronger and, yes, safer."" Choosing to spend more on our military at the expense of public broadcasting is simply not going to pan out.","link","https://www.nytimes.com/2017/04/05/opinion/stanley-mcchrystal-save-pbs-it-makes-us-safer.html?emc=edit_th_20170405&nl=todaysheadlines&nlid=66990359&referer&_r=0","nytimes.com",3676,215,637,324,33,7,10,13
"senschumer","15771239406_10155254158049407","Senator Chuck Schumer","2017-04-05","2017-04-05 15:49:50","Budget Director Mulvaney is wrong & the New Yorkers hit hard by Hurricane Sandy know it. That's why they're investing to make New York more resilient.","link","https://www.nytimes.com/2017/04/04/nyregion/preparing-for-the-future-using-lessons-from-hurricane-sandy.html?emc=edit_th_20170405&nl=todaysheadlines&nlid=66990359","nytimes.com",133,106,14,4,5,2,0,1
"senschumer","15771239406_10155258468729407","Senator Chuck Schumer","2017-04-06","2017-04-06 14:45:30","I'm on the senate floor talking about Judge Gorsuch’s nomination to the Supreme Court and Republican efforts to break the rules to change the rules at approximately 10:45 this AM, just before the cloture vote.","video","https://www.facebook.com/senschumer/videos/10155258468729407/",NA,1766,1511,205,263,43,13,35,216
"senschumer","15771239406_10155262540839407","Senator Chuck Schumer","2017-04-07","2017-04-07 13:53:34","I'm speaking live on the Senate Floor before the final vote on Judge Neil Gorsuch to be an Associate Justice of the Supreme Court:","video","https://www.facebook.com/USSenateDemocrats/videos/1288268474575677/",NA,462,302,0,14,19,9,176,481
