"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"senshelley","8057864757_10154946341039758","Senator Shelley Moore Capito","2017-01-01","2017-01-01 14:08:00","Happy New Year! Looking forward to a productive year ahead working for the great state of West Virginia!","status",NA,NA,115,15,1,0,0,0,0,0
"senshelley","8057864757_10154988732254758","Senator Shelley Moore Capito","2017-01-03","2017-01-03 18:25:47","Today I announced my committee assignments for the 115th Congress. I will continue to serve on the Appropriations, Environment & Public Works, and Rules & Administration Committees. I will be adding the Commerce, Science and Transportation Committee to my portfolio. From repealing burdensome U.S. Environmental Protection Agency regulations to advancing critical infrastructure and broadband access, these committee assignments place me in a strong position to continue getting results for West Virginia.","status",NA,NA,166,23,3,3,0,0,0,3
"senshelley","8057864757_10154991928669758","Senator Shelley Moore Capito","2017-01-04","2017-01-04 21:18:39","Today I met with U.S. Department of Energy Secretary nominee Governor Rick Perry, who is from a significant energy producing state that faces some of the same challenges and opportunities as West Virginia. We had a very positive conversation about the need to repeal overreaching regulations that have hindered our energy economy. We also discussed the need for expanded energy infrastructure, as well as the need to continue supporting cutting edge research like the important work taking place at the National Energy Technology Laboratory in Morgantown. Governor Perry will be a tremendous Energy Secretary, and I look forward to hosting him in West Virginia very soon.","status",NA,NA,148,19,11,6,0,0,0,0
"senshelley","8057864757_10154992092624758","Senator Shelley Moore Capito","2017-01-04","2017-01-04 22:41:57","Today’s meeting with Oklahoma Attorney General E. Scott Pruitt was very productive and underscored our shared commitment to reining in federal government overreach and getting the U.S. Environmental Protection Agency back to its core mission. Attorney General Pruitt and I have known each other for several years, and I have full confidence in his ability to implement President-elect Donald J. Trump's energy plan, and protect clean air and water without needlessly targeting critical jobs. His leadership is exactly what West Virginia needs, and I will work hard to make sure he is confirmed as EPA administrator.","photo","https://www.facebook.com/senshelley/photos/a.10150187012924758.317202.8057864757/10154992092624758/?type=3",NA,69,15,6,3,1,0,0,1
"senshelley","8057864757_10154994648534758","Senator Shelley Moore Capito","2017-01-05","2017-01-05 21:15:13","Today I had a productive meeting with Elaine Chao who is President-elect Donald J. Trump's nominee for Secretary of the U.S. Department of Transportation. From rural airports and pipeline safety to improving our highways and rural broadband, the Department of Transportation oversees many issues that directly impact West Virginians. I am grateful for the opportunity to share my priorities with Elaine, including how to better connect our state, and look forward to working with her to expand critical infrastructure projects.","status",NA,NA,86,13,3,5,0,0,0,3
"senshelley","8057864757_10154996792204758","Senator Shelley Moore Capito","2017-01-06","2017-01-06 16:17:49","Look who is smiling because she's turning 1️⃣ today. Our beautiful granddaughter Rose Barbara Capito. ������������������������","photo","https://www.facebook.com/senshelley/photos/a.10150187012924758.317202.8057864757/10154996792204758/?type=3",NA,621,60,1,55,0,0,0,0
"senshelley","8057864757_10154997399859758","Senator Shelley Moore Capito","2017-01-06","2017-01-06 20:50:50","Congress is back in session and ready to tackle big issues during the 115th Congress. WATCH for more.","video","https://www.facebook.com/senshelley/videos/10154997399859758/",NA,81,30,1,4,0,0,0,1
"senshelley","8057864757_10154997415884758","Senator Shelley Moore Capito","2017-01-08","2017-01-08 15:04:01","New year, new Congress… and a new weekly newsletter. Check out the highlights from my week here: http://bit.ly/2iMy0yR","photo","https://www.facebook.com/senshelley/photos/a.10150187012924758.317202.8057864757/10154997415884758/?type=3",NA,57,4,1,1,0,0,0,1
"senshelley","8057864757_10154997419984758","Senator Shelley Moore Capito","2017-01-08","2017-01-08 17:37:00","After meeting with several of President-elect Donald J. Trump's cabinet nominees and discussing issues that matter to West Virginians, I am confident that great opportunity lies ahead for our state.","video","https://www.facebook.com/senshelley/videos/10154997419984758/",NA,133,28,12,6,1,0,1,4
"senshelley","8057864757_10155008373504758","Senator Shelley Moore Capito","2017-01-10","2017-01-10 19:16:16","Just announced my 1st bill of the 115th Congress. The CORE Act encourages new investments in coal communities that have suffered major job loss, like too many in West Virginia. This legislation gives us a tremendous opportunity to generate economic development and diversify our state’s economy. More here: http://bit.ly/2j4CNhQ","photo","https://www.facebook.com/senshelley/photos/a.10150187012924758.317202.8057864757/10155008373504758/?type=3",NA,56,9,11,7,0,0,0,0
