"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"speakerryan","924244934290700_10154580579028891","Speaker Paul Ryan","2017-01-07","2017-01-07 16:40:33","Health care isn‚Äôt about slogans and scare tactics‚Äîit‚Äôs about people's lives and their bottom lines. The country is demanding change, and now is the time to act. - Congresswoman Diane Black","video","https://www.facebook.com/speakerryan/videos/10154580579028891/",NA,822,391,90,53,7,3,1,32
"speakerryan","924244934290700_1196107367104454","Speaker Paul Ryan","2017-01-01","2017-01-01 00:25:15","I hope all my friends in the Jewish community had a joyous and meaningful Hanukkah.","photo","https://www.facebook.com/speakerryan/photos/a.927749670606893.1073741828.924244934290700/1196107367104454/?type=3",NA,2075,177,67,131,10,2,4,7
"speakerryan","924244934290700_1216777031704154","Speaker Paul Ryan","2017-01-01","2017-01-01 15:49:29","Happy new year! 2017 is going to be a big year for our nation.","status",NA,NA,3213,535,62,186,15,11,12,29
"speakerryan","924244934290700_1217852628263261","Speaker Paul Ryan","2017-01-02","2017-01-02 22:32:01","Vice President-Elect Mike Pence will join House Republicans at the United States Capitol on Wednesday to discuss next steps to repeal and replace Obamacare.","photo","https://www.facebook.com/speakerryan/photos/a.927749670606893.1073741828.924244934290700/1217852628263261/?type=3",NA,2832,468,188,348,8,8,3,112
"speakerryan","924244934290700_1218294534885737","Speaker Paul Ryan","2017-01-03","2017-01-03 12:43:55","It's Opening Day of the 115th Congress‚Äîa rainy day in Washington, but a bright day for America. Ì†ºÌ∑∫Ì†ºÌ∑∏","photo","https://www.facebook.com/speakerryan/photos/a.927749670606893.1073741828.924244934290700/1218294534885737/?type=3",NA,4510,650,345,305,24,17,10,75
"speakerryan","924244934290700_1218533218195202","Speaker Paul Ryan","2017-01-03","2017-01-03 18:59:01","Honored to be elected Speaker of the House for the 115th Congress.","status",NA,NA,7389,598,129,545,15,17,32,188
"speakerryan","924244934290700_1218566358191888","Speaker Paul Ryan","2017-01-03","2017-01-03 18:51:19","Join now for the opening day of the 115th Congress. About to swear in all the members.","video","https://www.facebook.com/speakerryan/videos/1218566358191888/",NA,1273,1741,299,267,23,18,9,111
"speakerryan","924244934290700_1218716304843560","Speaker Paul Ryan","2017-01-03","2017-01-03 22:57:34","Our very first bills considered in the new Congress help the brave men and women who have served our country in uniform. Our veterans should always come first, but for too long they‚Äôve been let down by a failed system. We just unanimously passed two bipartisan initiatives that will make the VA more accountable and ensure veterans receive the best quality health care available.","status",NA,NA,1815,286,155,158,11,9,3,21
"speakerryan","924244934290700_1218724934842697","Speaker Paul Ryan","2017-01-04","2017-01-04 01:09:00","This is a once-in-a-lifetime opportunity. It‚Äôs time to raise our gaze, aim high, and grasp for that brighter horizon.","photo","https://www.facebook.com/speakerryan/photos/a.927749670606893.1073741828.924244934290700/1218724934842697/?type=3",NA,2106,371,90,141,9,5,3,50
"speakerryan","924244934290700_1219242591457598","Speaker Paul Ryan","2017-01-04","2017-01-04 12:35:02","I want to say to the American people: We hear you. We will do right by you. And we will deliver.","photo","https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154964611636336/?type=3",NA,1348,679,0,103,59,5,2,33
