"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"susancollins","7593313361_10155592180668362","U.S. Senator Susan Collins","2017-01-03","2017-01-03 20:54:20",NA,"link","http://www.pressherald.com/2017/01/03/our-view-research-only-way-to-ease-rising-cost-of-alzheimers/","pressherald.com",50,218,0,4,0,0,4,2
"susancollins","7593313361_10155620443618362","U.S. Senator Susan Collins","2017-01-11","2017-01-11 23:44:36","Congratulations to Jon Brockway of Westbrook on being named a Captain of the elite group America's Road Team, a program that educates the public about highway safety.  Jon has been a professional truck driver for 30 years and has accumulated more than 2.5 million accident-free miles.  I was delighted to meet Jon this week, and I am pleased that his commitment to safety is being recognized.","photo","https://www.facebook.com/susancollins/photos/a.455053088361.242157.7593313361/10155620443618362/?type=3",NA,142,253,11,10,0,2,0,9
"susancollins","7593313361_10155651201743362","U.S. Senator Susan Collins","2017-01-19","2017-01-19 23:46:57","Delighted to welcome so many Mainers to Washington this afternoon who are here for the inauguration!","photo","https://www.facebook.com/susancollins/photos/a.455053088361.242157.7593313361/10155651201743362/?type=3",NA,278,284,24,16,1,2,4,29
"susancollins","7593313361_10155673092998362","U.S. Senator Susan Collins","2017-01-24","2017-01-24 18:51:32","Sen. Collins was on CNN New Day this morning with Sen. Bill Cassidy to discuss their plan to provide better choices and increase access to affordable health care for all Americans.","video","https://www.facebook.com/susancollins/videos/10155673092998362/",NA,171,376,56,12,1,2,1,24
"susancollins","7593313361_10155677503443362","U.S. Senator Susan Collins","2017-01-25","2017-01-25 15:51:53","A columnist for The New York Times makes a strong case in favor of the Cassidy-Collins Compromise to increase access to affordable health insurance for all Americans. Read the column below.","link","https://www.nytimes.com/2017/01/25/opinion/repeal-and-compete.html?partner=bloomberg&_r=1","nytimes.com",192,1013,37,13,1,1,1,32
"susancollins","7593313361_10155678765648362","U.S. Senator Susan Collins","2017-01-25","2017-01-25 21:13:37","Just like the rest of America, I remember watching Mary Tyler Moore on television – in the Mary Tyler Moore Show and the Dick Van Dyke Show.  I was so fortunate to eventually come to know Mary as a friend, and as someone who dedicated her life to helping others – especially those living with Type 1 diabetes. As international chairman of JDRF, Mary testified at many of the Children’s Congresses that I held in the Senate.  Mary endured the ups and downs of Type 1 diabetes for so many years, but she never focused solely on her personal struggles with the disease.  Instead, she focused on finding a cure to help improve the lives of so many others, especially the children, who live with the serious complications from diabetes. We will honor Mary by continuing the work to which she committed so much of her time and energy.  She will be missed.","photo","https://www.facebook.com/susancollins/photos/a.455053088361.242157.7593313361/10155678765648362/?type=3",NA,1134,1981,72,122,0,1,104,6
"susancollins","7593313361_10155730587908362","U.S. Senator Susan Collins","2017-02-09","2017-02-09 22:24:49","""Judge Gorsuch is an individual with great integrity and extraordinary intellect who has a deep respect for the law.""      https://www.collins.senate.gov/newsroom/senator-collins%E2%80%99-statement-following-meeting-supreme-court-nominee-neil-gorsuch","photo","https://www.facebook.com/susancollins/photos/a.455053088361.242157.7593313361/10155730587908362/?type=3",NA,242,162,16,10,2,2,6,82
"susancollins","7593313361_10155732916703362","U.S. Senator Susan Collins","2017-02-10","2017-02-10 16:27:33",NA,"link","http://www.npr.org/2017/02/10/514428845/the-power-center-how-a-moderate-wields-big-influence-in-a-polarized-senate","npr.org",409,215,74,43,1,1,0,43
"susancollins","7593313361_10155733206118362","U.S. Senator Susan Collins","2017-02-10","2017-02-10 18:19:48","Senator Susan Margaret Collins meets Dean Susan Margaret Collins, University of Michigan Gerald R. Ford School of Public Policy.","photo","https://www.facebook.com/susancollins/photos/a.455053088361.242157.7593313361/10155733206118362/?type=3",NA,172,52,8,4,1,5,0,9
"susancollins","7593313361_10155733756263362","U.S. Senator Susan Collins","2017-02-10","2017-02-10 21:35:59","Delighted to meet with Mainers working to reduce substance abuse who were in D.C. for the Community Anti-Drug Coalitions of America National Leadership Conference.  We had a productive discussion on locally-based drug prevention programs and how these programs impact youth and adults across Maine.  Working together, we can effectively combat the opioid abuse epidemic that is causing so much harm throughout the country.","photo","https://www.facebook.com/susancollins/photos/a.455053088361.242157.7593313361/10155733756263362/?type=3",NA,93,74,6,5,0,0,1,6
