"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"timryan","121560497865_10154847184717866","Congressman Tim Ryan","2017-01-01","2017-01-01 01:58:20","It's almost time to say hello to 2017! I hope everyone has a fun and SAFE New Years Eve! #happynewyear","photo","https://www.facebook.com/NBCNews/photos/a.162132393806799.30950.155869377766434/1643966902290000/?type=3",NA,51,1,0,2,0,0,0,0
"timryan","121560497865_10154847731122866","Congressman Tim Ryan","2017-01-01","2017-01-01 05:16:45","Happy New Year! I hope it is a healthy and happy one for everyone. Onwards and upwards, always! God bless!","status",NA,NA,449,25,2,16,0,0,0,0
"timryan","121560497865_10154852579102866","Congressman Tim Ryan","2017-01-02","2017-01-02 20:18:49","Mark your calendars for this historic address!","photo","https://www.facebook.com/youngdems/photos/a.10150232654535580.458749.13500115579/10157916786710580/?type=3",NA,187,24,0,17,1,0,72,0
"timryan","121560497865_10154854603922866","Congressman Tim Ryan","2017-01-03","2017-01-03 15:51:36","House GOP on the campaign trail: ""Drain the swamp!"" House GOP in power: ""On second thought...""   This move to curtail the power of the independent Office of Congressional Ethics is a disturbing first act for this new Republican Congress. The American people expect more of their elected representatives than this.","link","http://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?_r=0","nytimes.com",83,26,42,2,0,3,8,50
"timryan","121560497865_10154854851737866","Congressman Tim Ryan","2017-01-03","2017-01-03 18:03:05","The House Republicans may have backed off of their plan to dismantle the Office of Congressional Ethics, but only because the public had to hold their feet to the fire. Their brazen attempt to weaken ethics protections is inexcusable, and should gravely concern all Americans. I stand ready to hold Republicans accountable as they move to undo eight years of progress.","link","https://www.washingtonpost.com/powerpost/gop-to-start-on-ambitious-conservative-agenda-as-congress-convenes-today/2017/01/03/6117cbe2-d1a1-11e6-945a-76f69a399dd5_story.html?utm_term=.71fd33006728","washingtonpost.com",723,91,93,34,12,9,3,15
"timryan","121560497865_10154857477267866","Congressman Tim Ryan","2017-01-04","2017-01-04 15:32:05","The people's work is never finished! We fought hard for OH-13 in the 114th Congress. I couldn't have done any of it without your continued support. I thank you for that, and look forward to continuing to fight for hardworking Ohioans and Americans in the 115th Congress!","photo","https://www.facebook.com/timryan/photos/a.435001832865.224887.121560497865/10154857477267866/?type=3",NA,145,11,7,15,0,0,0,0
"timryan","121560497865_10154857508132866","Congressman Tim Ryan","2017-01-04","2017-01-04 15:43:23",NA,"photo","https://www.facebook.com/timryan/photos/a.10150763994467866.425412.121560497865/10154857508132866/?type=3",NA,94,8,3,5,0,0,0,0
"timryan","121560497865_10154858156957866","Congressman Tim Ryan","2017-01-04","2017-01-04 20:29:06","Tim's Take: The start of the 115th Congress","video","https://www.facebook.com/timryan/videos/10154858156957866/",NA,344,124,33,40,0,2,0,2
"timryan","121560497865_10154865894072866","Congressman Tim Ryan","2017-01-07","2017-01-07 16:27:11","Let's gooo!","video","https://www.facebook.com/ysusports/videos/10154608218490804/",NA,42,1,0,2,0,0,0,0
"timryan","121560497865_10154866476447866","Congressman Tim Ryan","2017-01-07","2017-01-07 20:31:57","So proud of our team. They played their hearts out every game!","link","https://twitter.com/YoungstownStFB/status/817830504733011968/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=YoungstownStFB&utm_content=817830504733011968","twitter.com",86,1,0,5,0,0,0,0
