"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"tomcarper","124891107521733_1410041889006642","Senator Tom Carper","2017-01-04","2017-01-04 22:05:15","I was proUD to welcome the University of Delaware Field Hockey team to the U.S. Capitol this afternoon! Go Fightin' Blue Hens!","photo","https://www.facebook.com/tomcarper/photos/a.146756375335206.27695.124891107521733/1410041889006642/?type=3",NA,270,16,8,16,0,2,0,0
"tomcarper","124891107521733_1410729692271195","Senator Tom Carper","2017-01-05","2017-01-05 19:01:26","Delawareans, please welcome Congresswoman Lisa Blunt Rochester to Facebook!  Over the years, Lisa has called me a mentor, but the truth is, we’ve mentored each other. She has been and will continue to be a positive force for Delaware, and I look forward to working with Lisa as we enter this new Congress and work on behalf of all Delawareans.","link","https://www.facebook.com/Rep.BluntRochester/","facebook.com",140,20,0,8,0,0,0,1
"tomcarper","124891107521733_1411555825521915","Senator Tom Carper","2017-01-06","2017-01-06 19:12:22","Thrilled to join my friend, former Congressman Mike Castle, today to celebrate the passage of the DE River Basin Conservation Act. It will help protect drinking water for millions of people.","photo","https://www.facebook.com/tomcarper/photos/a.146756375335206.27695.124891107521733/1411555825521915/?type=3",NA,203,64,8,11,0,0,0,5
"tomcarper","124891107521733_1417394948271336","Senator Tom Carper","2017-01-13","2017-01-13 16:39:30","Exciting things are happening in Seaford. Today I toured new apartments with David Perlmutter to get a sense of what's going on with the downtown redevelopment initiative.","photo","https://www.facebook.com/tomcarper/photos/a.690280080982830.1073741854.124891107521733/1417390734938424/?type=3",NA,31,44,3,1,0,0,0,3
"tomcarper","124891107521733_1419993061344858","Senator Tom Carper","2017-01-16","2017-01-16 13:31:31","Congratulations to Dave Hugg, Town Manager for Smyrna, on your retirement!","photo","https://www.facebook.com/tomcarper/photos/a.146756375335206.27695.124891107521733/1419993061344858/?type=3",NA,44,19,5,4,0,0,0,0
"tomcarper","124891107521733_1420236917987139","Senator Tom Carper","2017-01-16","2017-01-16 19:40:06","It's been a wonderful morning traveling the state and attending events honoring Dr. Martin Luther King, Jr. I was reminded of one of my favorite MLK quotes, ""Faith is taking the first step even when you can't see the whole staircase.""","photo","https://www.facebook.com/tomcarper/photos/a.690280080982830.1073741854.124891107521733/1420234004654097/?type=3",NA,48,14,3,2,0,0,0,0
"tomcarper","124891107521733_1420959174581580","Senator Tom Carper","2017-01-17","2017-01-17 16:30:49","The rain can't damper our spirits today as we watch the inauguration of Delaware's new Governor, my friend, John Carney.","photo","https://www.facebook.com/tomcarper/photos/a.146756375335206.27695.124891107521733/1420959174581580/?type=3",NA,211,23,5,4,0,0,0,0
"tomcarper","124891107521733_1423848687625962","Senator Tom Carper","2017-01-20","2017-01-20 18:33:18","Delaware, we're headed home.","photo","https://www.facebook.com/tomcarper/photos/a.146756375335206.27695.124891107521733/1423848687625962/?type=3",NA,3159,166,556,554,2,3,164,1
"tomcarper","124891107521733_1423973447613486","Senator Tom Carper","2017-01-20","2017-01-20 19:56:29","Welcoming back Joe Biden today to Delaware.","photo","https://www.facebook.com/tomcarper/photos/a.146756375335206.27695.124891107521733/1423973447613486/?type=3",NA,535,18,34,81,2,0,0,0
"tomcarper","124891107521733_1424051500939014","Senator Tom Carper","2017-01-20","2017-01-20 21:41:31","Thank you to Joe and Jill for your service. Welcome home!","photo","https://www.facebook.com/tomcarper/photos/a.690280080982830.1073741854.124891107521733/1424050990939065/?type=3",NA,287,16,12,52,0,0,0,0
"tomcarper","124891107521733_1430286563648841","Senator Tom Carper","2017-01-25","2017-01-25 19:42:28","Students, parents, educators ... join us on Feb. 22 in Dover for this info session on Service Academies. Please share!","photo","https://www.facebook.com/tomcarper/photos/a.146756375335206.27695.124891107521733/1430286563648841/?type=3",NA,18,9,12,0,0,0,0,0
"tomcarper","124891107521733_1431618413515656","Senator Tom Carper","2017-01-26","2017-01-26 20:58:05","Betsy DeVos is not the right person to lead the Department of Education. At her confirmation hearing, Mrs. DeVos responded with inexplicable answers to basic questions and demonstrated she is wholly unqualified and unprepared for this critical task.  This did not have to be a divisive nomination. Improving public education and raising student achievement should not be a partisan issue. Supporting dedicated public school teachers and leaders should not be a partisan issue. Holding bad actors in the for-profit college sector should not be a partisan issue. I cannot support Mrs. Devos’s nomination because I am not convinced she’s interested in bringing Democrats and Republicans together on a shared vision of improving public education in this country.","status",NA,NA,1957,272,313,169,2,4,3,23
"tomcarper","124891107521733_1433611979982966","Senator Tom Carper","2017-01-28","2017-01-28 00:11:26","Today I teamed up with Nehemiah Gateway Community Development and First State Community Action Agency to get the word out to Delawareans about free tax filing assistance and the Earned Income Tax Credit. To learn more, go to www.firststatecaa.org.","photo","https://www.facebook.com/tomcarper/photos/a.146756375335206.27695.124891107521733/1433611979982966/?type=3",NA,47,5,7,0,0,0,0,0
