"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"zoelofgren","221191600719_10158019146025720","Representative Zoe Lofgren","2017-01-09","2017-01-09 20:52:00","The Affordable Care Act was a real step forward for California’s families. But that progress can be shattered if we allow Trump and the Republicans to push through their repeal agenda. We owe too much to our children, families, and communities to let that happen.","photo","https://www.facebook.com/zoelofgren/photos/a.10150171333435720.425393.221191600719/10158019146025720/?type=3",NA,100,37,13,4,0,0,14,18
"zoelofgren","221191600719_10158035676925720","Representative Zoe Lofgren","2017-01-12","2017-01-12 17:40:27","This isn’t about politics. If we do nothing, or look the other way, we will give Russia and other foreign adversaries a green light to hack future elections. And while Democrats were the victims of this hack, it could be Republicans next time. http://bit.ly/2ikKifZ","link","http://bit.ly/2ikKifZ","bit.ly",233,77,18,17,1,0,0,3
"zoelofgren","221191600719_10158067123165720","Representative Zoe Lofgren","2017-01-18","2017-01-18 18:10:42","The latest report on the Republicans’ plan to repeal the Affordable Care is clear – 32 million people could lose their health insurance by 2026, and premiums in the individual insurance market could double. http://nyti.ms/2k1nR4Z","link","http://wapo.st/2iBRmdo","apo.st",24,52,15,0,0,1,20,45
"zoelofgren","221191600719_10158102235285720","Representative Zoe Lofgren","2017-01-24","2017-01-24 17:05:47","President Trump’s decision yesterday to reinstate the Global Gag Rule will have far-reaching implications for communities across the globe. Whether he knows it or not, his actions will make it much more difficult to provide services like birth control and HIV prevention. https://goo.gl/M66gCB","video","https://goo.gl/M66gCB",NA,49,20,17,0,1,0,37,51
"zoelofgren","221191600719_10158102809115720","Representative Zoe Lofgren","2017-01-24","2017-01-24 20:01:31","Millions of women took to the streets in protest last weekend, but today House Republicans are voting to block women from using their health coverage how they see fit. http://bit.ly/2jVUBvA","link","http://bit.ly/2jVUBvA","bit.ly",42,16,5,1,0,3,16,43
"zoelofgren","221191600719_10158104021920720","Representative Zoe Lofgren","2017-01-24","2017-01-24 21:52:00","Forty-four years ago, the Supreme Court made an important decision: it said that women have a constitutional right to make decisions about their own health care and their own bodies – not the government. Let’s make sure that the Constitutional rights of women to control their own bodies are not attacked.","video","https://www.facebook.com/zoelofgren/videos/10158104021920720/",NA,626,54,141,91,1,0,1,1
"zoelofgren","221191600719_10158109644695720","Representative Zoe Lofgren","2017-01-25","2017-01-25 15:58:37","Refugees make our nation stronger and the world safer. America has long been a worldwide beacon of hope, and we cannot now turn out backs on those fleeing for their lives. http://bit.ly/2jYh8Iu","link","http://bit.ly/2jYh8Iu","bit.ly",121,8,13,13,0,0,0,0
"zoelofgren","221191600719_10158119671815720","Representative Zoe Lofgren","2017-01-27","2017-01-27 17:32:03","You're more likely to die in a space travel incident than be killed by a refugee terrorist in America: http://ind.pn/2k0DPcC","link","http://ind.pn/2k0DPcC","ind.pn",260,25,50,9,8,1,2,2
"zoelofgren","221191600719_10158132108780720","Representative Zoe Lofgren","2017-01-30","2017-01-30 16:17:14","I'm introducing legislation with House Democrats today to overturn Trump's Muslim ban because it's un-American to discriminate based on race, religion or nationality. http://huff.to/2k9gbuN","link","http://huff.to/2k9gbuN","huff.to",696,95,143,117,4,3,1,6
"zoelofgren","221191600719_10158139053820720","Representative Zoe Lofgren","2017-01-31","2017-01-31 20:55:29","Forty-seven Democratic Members of Congress asked the Speaker of the House to bring up my bill to rescind Trump's un-American travel and refugee ban today. Forty-seven times we were refused by the Republican majority. http://bit.ly/2jzPQnK","video","https://www.facebook.com/zoelofgren/videos/10158139053820720/",NA,387,105,133,42,3,8,22,176
